Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Jared Goff,DET,0,0,0,0,0,10.0,2022,143
Jamaal Williams,DET,0,0,0,0,0,10.0,2022,143
Justin Jackson,DET,3,2,14,0,8,10.0,2022,143
D'Andre Swift,DET,3,1,6,0,6,10.0,2022,143
Amon-Ra St. Brown,DET,11,10,119,0,22,10.0,2022,143
Kalif Raymond,DET,3,3,47,0,21,10.0,2022,143
Tom Kennedy,DET,2,1,44,0,44,10.0,2022,143
James Mitchell,DET,1,1,4,0,4,10.0,2022,143
Brock Wright,DET,1,1,2,1,2,10.0,2022,143
Shane Zylstra,DET,1,0,0,0,0,10.0,2022,143
Justin Fields,CHI,0,0,0,0,0,10.0,2022,143
Khalil Herbert,CHI,0,0,0,0,0,10.0,2022,143
David Montgomery,CHI,1,1,7,0,7,10.0,2022,143
Equanimeous St. Brown,CHI,0,0,0,0,0,10.0,2022,143
Dante Pettis,CHI,1,1,9,0,9,10.0,2022,143
Cole Kmet,CHI,7,4,74,2,50,10.0,2022,143
Darnell Mooney,CHI,4,4,57,0,22,10.0,2022,143
Byron Pringle,CHI,2,1,12,0,12,10.0,2022,143
Chase Claypool,CHI,2,1,8,0,8,10.0,2022,143
Trevon Wesco,CHI,1,0,0,0,0,10.0,2022,143
