Unnamed: 0,DEN,TEN,week,year,game_id
First Downs,18,14,10.0,2022,141
Rush-Yds-TDs,25-65-0,23-63-0,10.0,2022,141
Cmp-Att-Yd-TD-INT,21-42-286-1-1,19-36-255-2-0,10.0,2022,141
Sacked-Yards,6-38,1-11,10.0,2022,141
Net Pass Yards,248,244,10.0,2022,141
Total Yards,313,307,10.0,2022,141
Fumbles-Lost,3-0,2-1,10.0,2022,141
Turnovers,1,1,10.0,2022,141
Penalties-Yards,8-50,9-60,10.0,2022,141
Third Down Conv.,4-17,6-16,10.0,2022,141
Fourth Down Conv.,2-3,0-0,10.0,2022,141
Time of Possession,33:57,26:03,10.0,2022,141
