Unnamed: 0,CLE,MIA,week,year,game_id
First Downs,20,29,10.0,2022,140
Rush-Yds-TDs,24-112-1,33-195-2,10.0,2022,140
Cmp-Att-Yd-TD-INT,22-35-212-1-0,26-33-302-3-0,10.0,2022,140
Sacked-Yards,3-27,1-6,10.0,2022,140
Net Pass Yards,185,296,10.0,2022,140
Total Yards,297,491,10.0,2022,140
Fumbles-Lost,2-1,1-0,10.0,2022,140
Turnovers,1,0,10.0,2022,140
Penalties-Yards,6-52,5-43,10.0,2022,140
Third Down Conv.,5-12,6-11,10.0,2022,140
Fourth Down Conv.,2-5,1-2,10.0,2022,140
Time of Possession,26:46,33:14,10.0,2022,140
