Unnamed: 0,JAX,KAN,week,year,game_id
First Downs,17,26,10.0,2022,144
Rush-Yds-TDs,16-75-0,27-155-0,10.0,2022,144
Cmp-Att-Yd-TD-INT,29-40-259-2-0,26-35-331-4-1,10.0,2022,144
Sacked-Yards,5-19,0-0,10.0,2022,144
Net Pass Yards,240,331,10.0,2022,144
Total Yards,315,486,10.0,2022,144
Fumbles-Lost,0-0,3-2,10.0,2022,144
Turnovers,0,3,10.0,2022,144
Penalties-Yards,5-30,0-0,10.0,2022,144
Third Down Conv.,4-14,7-10,10.0,2022,144
Fourth Down Conv.,2-2,1-1,10.0,2022,144
Time of Possession,31:39,28:21,10.0,2022,144
