Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Alvin Kamara,NOR,8,26,0,1.0,12,1.5,14,1.8,1,8.0,10.0,2022,145
Andy Dalton,NOR,3,1,0,0.0,0,0.0,1,0.3,0,,10.0,2022,145
Taysom Hill,NOR,3,1,0,,-1,-0.3,2,0.7,0,,10.0,2022,145
Jordan Howard,NOR,1,1,0,,0,0.0,1,1.0,0,,10.0,2022,145
Najee Harris,PIT,20,99,0,3.0,40,2.0,59,3.0,1,20.0,10.0,2022,145
Jaylen Warren,PIT,9,37,0,1.0,10,1.1,27,3.0,2,4.5,10.0,2022,145
Kenny Pickett,PIT,8,51,1,4.0,39,4.9,12,1.5,0,,10.0,2022,145
George Pickens,PIT,2,23,1,2.0,19,9.5,4,2.0,0,,10.0,2022,145
Steven Sims,PIT,2,2,0,1.0,0,0.0,2,1.0,0,,10.0,2022,145
Derek Watt,PIT,2,5,0,2.0,2,1.0,3,1.5,0,,10.0,2022,145
