Quarter,Time,Down,ToGo,Location,ARI,LAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cardinals won the coin toss and deferred, Rams to receive the opening kickoff.",,,10.0,2022,148
1.0,15:00,,,ARI 35,0.0,0.0,"Tristan Vizcaino kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,148
1.0,15:00,1.0,10.0,LAR 25,0.0,0.0,John Wolford pass complete short right to Ben Skowronek for 8 yards (tackle by Jalen Thompson and Leki Fotu),0.61,1.14,10.0,2022,148
1.0,14:20,2.0,2.0,LAR 33,0.0,0.0,Darrell Henderson right tackle for 6 yards (tackle by Isaiah Simmons),1.14,1.53,10.0,2022,148
1.0,13:42,1.0,10.0,LAR 39,0.0,0.0,John Wolford pass complete short left to Cooper Kupp for no gain (tackle by Antonio Hamilton),1.53,0.99,10.0,2022,148
1.0,13:03,2.0,10.0,LAR 39,0.0,0.0,"Penalty on Ty Nsekhe: False Start, 5 yards (accepted) (no play)",0.99,0.31,10.0,2022,148
1.0,12:39,2.0,15.0,LAR 34,0.0,0.0,Brandon Powell right end for 7 yards (tackle by Ben Niemann),0.31,0.56,10.0,2022,148
1.0,11:58,3.0,8.0,LAR 41,0.0,0.0,John Wolford pass complete short middle to Allen Robinson for 7 yards (tackle by Antonio Hamilton),0.56,-0.19,10.0,2022,148
1.0,11:16,4.0,1.0,LAR 48,0.0,0.0,Cam Akers right tackle for 2 yards (tackle by Antonio Hamilton and Jalen Thompson),-0.19,2.26,10.0,2022,148
1.0,10:32,1.0,10.0,LAR 50,0.0,0.0,John Wolford pass incomplete short left intended for Cam Akers,2.26,1.71,10.0,2022,148
1.0,10:27,2.0,10.0,LAR 50,0.0,0.0,Cam Akers up the middle for 7 yards (tackle by Isaiah Simmons),1.71,1.95,10.0,2022,148
1.0,9:46,3.0,3.0,ARI 43,0.0,0.0,John Wolford right end for 4 yards (tackle by Marco Wilson),1.95,2.98,10.0,2022,148
1.0,9:11,1.0,10.0,ARI 39,0.0,0.0,John Wolford pass complete short left to Allen Robinson for 14 yards (tackle by Antonio Hamilton),2.98,3.91,10.0,2022,148
1.0,8:28,1.0,10.0,ARI 25,0.0,0.0,"John Wolford aborted snap, recovered by Darrell Henderson at ARI-24 and returned for 1 yard",3.91,3.5,10.0,2022,148
1.0,7:42,,,,,,Timeout #1 by Los Angeles Rams,,,10.0,2022,148
1.0,7:42,2.0,9.0,ARI 24,0.0,0.0,Bryce Perkins up the middle for no gain (tackle by Myjai Sanders and Zach Allen),3.5,2.81,10.0,2022,148
1.0,7:00,3.0,9.0,ARI 24,0.0,0.0,Darrell Henderson right tackle for 6 yards (tackle by Antonio Hamilton),2.81,2.35,10.0,2022,148
1.0,6:20,4.0,3.0,ARI 18,0.0,3.0,Matt Gay 36 yard field goal good,2.35,3.0,10.0,2022,148
1.0,6:16,,,LAR 35,0.0,3.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,148
1.0,6:16,1.0,10.0,ARI 25,0.0,3.0,Colt McCoy pass complete short left to DeAndre Hopkins for 1 yard (tackle by Jalen Ramsey),0.61,0.2,10.0,2022,148
1.0,5:52,2.0,9.0,ARI 26,0.0,3.0,Colt McCoy pass complete short right to Rondale Moore for 5 yards (tackle by David Long),0.2,0.17,10.0,2022,148
1.0,5:18,3.0,4.0,ARI 31,0.0,3.0,Colt McCoy pass complete short middle to Rondale Moore for 14 yards (tackle by Nick Scott and Ernest Jones),0.17,1.93,10.0,2022,148
1.0,4:52,1.0,10.0,ARI 45,0.0,3.0,Colt McCoy pass incomplete short left intended for Rondale Moore,1.93,1.38,10.0,2022,148
1.0,4:51,2.0,10.0,ARI 45,0.0,3.0,Colt McCoy pass incomplete deep right intended for Rondale Moore (defended by David Long),1.38,0.7,10.0,2022,148
1.0,4:45,3.0,10.0,ARI 45,0.0,3.0,"Penalty on Josh Jones: False Start, 5 yards (accepted) (no play)",0.7,0.04,10.0,2022,148
1.0,4:45,3.0,15.0,ARI 40,0.0,3.0,Colt McCoy pass complete short right to DeAndre Hopkins for 13 yards (tackle by Jalen Ramsey),0.04,0.13,10.0,2022,148
1.0,4:05,4.0,2.0,LAR 47,0.0,3.0,Colt McCoy pass complete short right to A.J. Green for 4 yards (tackle by Troy Hill),0.13,2.72,10.0,2022,148
1.0,3:39,1.0,10.0,LAR 43,0.0,3.0,Colt McCoy pass incomplete short right,2.72,2.18,10.0,2022,148
1.0,3:36,2.0,10.0,LAR 43,0.0,3.0,Colt McCoy pass complete short left to DeAndre Hopkins for 6 yards (tackle by David Long and Justin Hollins),2.18,2.28,10.0,2022,148
1.0,2:58,3.0,4.0,LAR 37,0.0,3.0,Colt McCoy pass complete short middle to Zach Ertz for 12 yards (tackle by Troy Hill and Bobby Wagner),2.28,3.91,10.0,2022,148
1.0,2:21,1.0,10.0,LAR 25,0.0,3.0,Colt McCoy pass complete short left to James Conner for 4 yards (tackle by Troy Hill),3.91,3.9,10.0,2022,148
1.0,1:45,2.0,6.0,LAR 21,0.0,3.0,James Conner up the middle for 2 yards (tackle by Bobby Wagner),3.9,3.49,10.0,2022,148
1.0,1:02,3.0,4.0,LAR 19,0.0,3.0,James Conner right guard for 1 yard (tackle by Ernest Jones and Bobby Wagner),3.49,2.35,10.0,2022,148
1.0,0:18,4.0,3.0,LAR 18,3.0,3.0,Tristan Vizcaino 36 yard field goal good,2.35,3.0,10.0,2022,148
1.0,0:13,,,ARI 35,3.0,3.0,"Tristan Vizcaino kicks off 56 yards, returned by Brandon Powell for 15 yards (tackle by Stephen Anderson)",0.0,0.54,10.0,2022,148
1.0,0:08,1.0,10.0,LAR 24,3.0,3.0,Cam Akers left tackle for 4 yards (tackle by Myjai Sanders),0.54,0.54,10.0,2022,148
2.0,15:00,2.0,6.0,LAR 28,3.0,3.0,John Wolford pass incomplete short middle intended for Cooper Kupp (defended by Antonio Hamilton),0.54,-0.16,10.0,2022,148
2.0,14:52,3.0,6.0,LAR 28,3.0,3.0,John Wolford pass incomplete deep right intended for Allen Robinson,-0.16,-1.5,10.0,2022,148
2.0,14:46,4.0,6.0,LAR 28,3.0,3.0,"Riley Dixon punts 54 yards, returned by Greg Dortch for 10 yards (tackle by Michael Hoecht)",-1.5,-0.81,10.0,2022,148
2.0,14:35,1.0,10.0,ARI 28,3.0,3.0,James Conner up the middle for 2 yards (tackle by Marquise Copeland and Aaron Donald),0.81,0.53,10.0,2022,148
2.0,13:50,2.0,8.0,ARI 30,3.0,3.0,Colt McCoy pass complete short right to Rondale Moore for 5 yards (tackle by Ernest Jones),0.53,0.5,10.0,2022,148
2.0,13:11,3.0,3.0,ARI 35,3.0,3.0,Colt McCoy pass incomplete short left intended for DeAndre Hopkins,0.5,-1.04,10.0,2022,148
2.0,13:07,4.0,3.0,ARI 35,3.0,3.0,"Andy Lee punts 50 yards, returned by Brandon Powell for 18 yards (tackle by Tanner Vallejo)",-1.04,-1.14,10.0,2022,148
2.0,12:56,1.0,10.0,LAR 33,3.0,3.0,Bryce Perkins pass complete short right to Cooper Kupp for -3 yards (tackle by Myjai Sanders),1.14,0.19,10.0,2022,148
2.0,12:18,2.0,13.0,LAR 30,3.0,3.0,John Wolford pass incomplete short right intended for Ben Skowronek,0.19,-0.49,10.0,2022,148
2.0,12:15,3.0,13.0,LAR 30,3.0,3.0,John Wolford pass complete short left to Cooper Kupp for 2 yards (tackle by Zaven Collins),-0.49,-1.24,10.0,2022,148
2.0,11:40,4.0,11.0,LAR 32,3.0,3.0,"Riley Dixon punts 25 yards downed by Jake Gervase. Penalty on Trayvon Mullen: Offensive Holding, 10 yards (accepted)",-1.24,-1.14,10.0,2022,148
2.0,11:33,1.0,10.0,ARI 33,3.0,3.0,Colt McCoy pass incomplete short right intended for DeAndre Hopkins,1.14,0.59,10.0,2022,148
2.0,11:28,2.0,10.0,ARI 33,3.0,3.0,Colt McCoy pass incomplete short left intended for Rondale Moore,0.59,-0.1,10.0,2022,148
2.0,11:24,3.0,10.0,ARI 33,3.0,3.0,Colt McCoy pass complete short left to Rondale Moore for 9 yards (tackle by Troy Hill),-0.1,-0.59,10.0,2022,148
2.0,10:47,4.0,1.0,ARI 42,3.0,3.0,"Andy Lee punts 58 yards, touchback.",-0.59,-0.28,10.0,2022,148
2.0,10:39,1.0,10.0,LAR 20,3.0,3.0,Cam Akers up the middle for 2 yards (tackle by Antonio Hamilton and Ben Niemann),0.28,0.0,10.0,2022,148
2.0,10:00,2.0,8.0,LAR 22,3.0,3.0,John Wolford pass complete short right to Tyler Higbee for 2 yards (tackle by Antonio Hamilton),0.0,-0.43,10.0,2022,148
2.0,9:13,3.0,6.0,LAR 24,3.0,3.0,"Penalty on Brycen Hopkins: False Start, 5 yards (accepted) (no play)",-0.43,-1.14,10.0,2022,148
2.0,8:48,3.0,11.0,LAR 19,3.0,3.0,John Wolford pass incomplete short middle intended for Brycen Hopkins (defended by Zaven Collins),-1.14,-2.14,10.0,2022,148
2.0,8:42,4.0,11.0,LAR 19,3.0,3.0,"Riley Dixon punts 60 yards, returned by Greg Dortch for 13 yards (tackle by Justin Hollins)",-2.14,-1.2,10.0,2022,148
2.0,8:27,1.0,10.0,ARI 34,3.0,3.0,James Conner up the middle for 2 yards (tackle by Bobby Wagner and Aaron Donald),1.2,0.93,10.0,2022,148
2.0,7:54,2.0,8.0,ARI 36,3.0,3.0,Colt McCoy pass complete short middle to DeAndre Hopkins for 14 yards (tackle by Nick Scott),0.93,2.26,10.0,2022,148
2.0,7:20,1.0,10.0,ARI 50,3.0,3.0,Colt McCoy pass complete short right to DeAndre Hopkins for 12 yards,2.26,3.05,10.0,2022,148
2.0,6:45,1.0,10.0,LAR 38,3.0,3.0,Colt McCoy pass complete short left to DeAndre Hopkins for 8 yards (tackle by Nick Scott),3.05,3.59,10.0,2022,148
2.0,6:11,2.0,2.0,LAR 30,3.0,3.0,Colt McCoy pass complete short left to DeAndre Hopkins for 4 yards (tackle by Jalen Ramsey),3.59,3.84,10.0,2022,148
2.0,5:39,1.0,10.0,LAR 26,3.0,3.0,"Colt McCoy pass complete short right to Trey McBride for 7 yards. Trey McBride fumbles (forced by Nick Scott), recovered by Trey McBride at LA-19",3.84,4.27,10.0,2022,148
2.0,5:01,2.0,3.0,LAR 19,3.0,3.0,James Conner right end for 1 yard (tackle by Leonard Floyd),4.27,3.75,10.0,2022,148
2.0,4:24,3.0,2.0,LAR 18,3.0,3.0,Colt McCoy up the middle for 3 yards (tackle by Ernest Jones),3.75,4.58,10.0,2022,148
2.0,4:05,1.0,10.0,LAR 15,3.0,3.0,James Conner left tackle for 4 yards (tackle by Troy Hill),4.58,4.64,10.0,2022,148
2.0,3:22,2.0,6.0,LAR 11,3.0,3.0,Colt McCoy pass incomplete short right intended for DeAndre Hopkins,4.64,3.78,10.0,2022,148
2.0,3:19,3.0,6.0,LAR 11,3.0,3.0,Colt McCoy pass complete short left to James Conner for 5 yards (tackle by Taylor Rapp and Ernest Jones),3.78,3.02,10.0,2022,148
2.0,2:36,4.0,1.0,LAR 6,3.0,3.0,Colt McCoy scrambles right end for 2 yards (tackle by Nick Scott),3.02,6.28,10.0,2022,148
2.0,2:00,1.0,4.0,LAR 4,9.0,3.0,"James Conner up the middle for 4 yards, touchdown",6.28,7.0,10.0,2022,148
2.0,1:56,,,LAR 15,9.0,3.0,"Penalty on ARI: Delay of Game, 5 yards (accepted) (no play)",0.0,0.0,10.0,2022,148
2.0,1:56,,,LAR 20,10.0,3.0,Tristan Vizcaino kicks extra point good,0.0,0.0,10.0,2022,148
2.0,1:56,,,ARI 35,10.0,3.0,"Tristan Vizcaino kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,148
2.0,1:56,1.0,10.0,LAR 25,10.0,3.0,John Wolford pass complete short right to Tyler Higbee for 8 yards (tackle by Ben Niemann),0.61,1.14,10.0,2022,148
2.0,1:49,2.0,2.0,LAR 33,10.0,3.0,John Wolford pass complete short left to Darrell Henderson for 11 yards (tackle by Isaiah Simmons and Antonio Hamilton),1.14,1.86,10.0,2022,148
