Quarter,Time,Down,ToGo,Location,ATL,CAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,,10.0,2022,137
1.0,15:00,,,CAR 35,0.0,0.0,"Eddy Pineiro kicks off 63 yards, returned by Cordarrelle Patterson for 25 yards (tackle by Sam Franklin). Penalty on Mike Ford: Offensive Holding, 10 yards (accepted)",0.0,-0.06,10.0,2022,137
1.0,14:56,1.0,10.0,ATL 17,0.0,0.0,Cordarrelle Patterson right tackle for 3 yards (tackle by Matthew Ioannidis),-0.06,-0.06,10.0,2022,137
1.0,14:14,2.0,7.0,ATL 20,0.0,0.0,"Marcus Mariota pass incomplete intended for Kyle Pitts. Penalty on Jake Matthews: Ineligible Downfield Pass, 5 yards (declined)",-0.06,-0.87,10.0,2022,137
1.0,14:09,3.0,7.0,ATL 20,0.0,0.0,Marcus Mariota pass complete short right to Kyle Pitts for 10 yards (tackle by Xavier Woods),-0.87,0.94,10.0,2022,137
1.0,13:29,1.0,10.0,ATL 30,0.0,0.0,Caleb Huntley left end for -1 yards (tackle by Shaq Thompson and Frankie Luvu),0.94,0.26,10.0,2022,137
1.0,12:46,2.0,11.0,ATL 29,0.0,0.0,Cordarrelle Patterson left tackle for 2 yards (tackle by Cory Littleton),0.26,-0.16,10.0,2022,137
1.0,12:04,3.0,9.0,ATL 31,0.0,0.0,Marcus Mariota pass complete to Tyler Allgeier for -5 yards (tackle by Shaq Thompson and Marquis Haynes),-0.16,-1.63,10.0,2022,137
1.0,11:30,4.0,14.0,ATL 26,0.0,0.0,Bradley Pinion punts 43 yards downed by Mike Ford,-1.63,-1.0,10.0,2022,137
1.0,11:21,1.0,10.0,CAR 31,0.0,0.0,D'Onta Foreman up the middle for 4 yards (tackle by Rashaan Evans and Lorenzo Carter),1.0,1.0,10.0,2022,137
1.0,10:46,2.0,6.0,CAR 35,0.0,0.0,D'Onta Foreman up the middle for 5 yards (tackle by Abdullah Anderson and Rashaan Evans),1.0,0.96,10.0,2022,137
1.0,10:01,3.0,1.0,CAR 40,0.0,0.0,D'Onta Foreman left guard for 1 yard (tackle by Adetokunbo Ogundeji),0.96,1.66,10.0,2022,137
1.0,9:43,1.0,10.0,CAR 41,0.0,0.0,D'Onta Foreman left guard for -1 yards (tackle by Adetokunbo Ogundeji and Grady Jarrett),1.66,0.99,10.0,2022,137
1.0,9:08,2.0,11.0,CAR 40,0.0,0.0,P.J. Walker pass complete deep left to D.J. Moore for 20 yards,0.99,2.92,10.0,2022,137
