Unnamed: 0,DAL,GNB,week,year,game_id
First Downs,24,20,10.0,2022,147
Rush-Yds-TDs,31-159-1,39-207-1,10.0,2022,147
Cmp-Att-Yd-TD-INT,27-46-265-3-2,14-20-224-3-0,10.0,2022,147
Sacked-Yards,2-3,2-16,10.0,2022,147
Net Pass Yards,262,208,10.0,2022,147
Total Yards,421,415,10.0,2022,147
Fumbles-Lost,1-0,3-2,10.0,2022,147
Turnovers,2,2,10.0,2022,147
Penalties-Yards,9-83,6-40,10.0,2022,147
Third Down Conv.,5-15,6-13,10.0,2022,147
Fourth Down Conv.,2-3,1-1,10.0,2022,147
Time of Possession,30:59,35:55,10.0,2022,147
