Quarter,Time,Tm,Detail,LAC,SFO,week,year,game_id
1.0,11:35,Chargers,DeAndre Carter 32 yard pass from Justin Herbert (Cameron Dicker kick),7,0,10.0,2022,149
,4:10,49ers,Robbie Gould 20 yard field goal,7,3,10.0,2022,149
2.0,14:52,Chargers,Cameron Dicker 47 yard field goal,10,3,10.0,2022,149
,6:42,Chargers,Cameron Dicker 25 yard field goal,13,3,10.0,2022,149
,1:57,49ers,Jimmy Garoppolo 1 yard rush (Robbie Gould kick),13,10,10.0,2022,149
,0:00,Chargers,Cameron Dicker 40 yard field goal,16,10,10.0,2022,149
3.0,8:52,49ers,Robbie Gould 26 yard field goal,16,13,10.0,2022,149
4.0,7:54,49ers,Christian McCaffrey 2 yard rush (Robbie Gould kick failed),16,19,10.0,2022,149
,0:58,49ers,Robbie Gould 20 yard field goal,16,22,10.0,2022,149
