Quarter,Time,Down,ToGo,Location,SEA,TAM,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Seahawks won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,,10.0,2022,138
1.0,15:00,,,SEA 35,0.0,0.0,"Jason Myers kicks off 67 yards, returned by Jaelon Darden for 18 yards (tackle by Nick Bellore)",0.0,-0.14,10.0,2022,138
1.0,14:56,1.0,10.0,TAM 16,0.0,0.0,Rachaad White up the middle for no gain (tackle by Poona Ford and Bruce Irvin),-0.14,-0.66,10.0,2022,138
1.0,14:21,2.0,10.0,TAM 16,0.0,0.0,Tom Brady pass incomplete short right intended for Chris Godwin,-0.66,-1.32,10.0,2022,138
1.0,14:18,3.0,10.0,TAM 16,0.0,0.0,Tom Brady pass incomplete deep left intended for Julio Jones,-1.32,-2.39,10.0,2022,138
1.0,14:13,4.0,10.0,TAM 16,0.0,0.0,Jake Camarda punts 59 yards out of bounds,-2.39,-0.61,10.0,2022,138
1.0,14:02,1.0,10.0,SEA 25,0.0,0.0,Geno Smith pass complete short left to D.K. Metcalf for 10 yards (tackle by Jamel Dean),0.61,1.27,10.0,2022,138
1.0,13:44,1.0,10.0,SEA 35,0.0,0.0,Kenneth Walker right end for 4 yards (tackle by Devin White),1.27,1.26,10.0,2022,138
1.0,13:09,2.0,6.0,SEA 39,0.0,0.0,Kenneth Walker left tackle for 1 yard (tackle by Mike Edwards),1.26,0.7,10.0,2022,138
1.0,12:20,3.0,5.0,SEA 40,0.0,0.0,"Penalty on SEA: Delay of Game, 5 yards (accepted) (no play)",0.7,0.04,10.0,2022,138
1.0,12:00,,,,,,Timeout #1 by Seattle Seahawks,,,10.0,2022,138
1.0,12:00,3.0,10.0,SEA 35,0.0,0.0,Geno Smith sacked by Joe Tryon-Shoyinka for -17 yards,0.04,-2.24,10.0,2022,138
1.0,11:12,4.0,27.0,SEA 18,0.0,0.0,"Michael Dickson punts 41 yards, fair catch by Jaelon Darden at TB-41",-2.24,-1.66,10.0,2022,138
1.0,11:05,1.0,10.0,TAM 41,0.0,0.0,Tom Brady pass complete deep left to Mike Evans for 29 yards (tackle by Quandre Diggs),1.66,3.58,10.0,2022,138
1.0,10:38,1.0,10.0,SEA 30,0.0,0.0,"Leonard Fournette left guard for 2 yards (tackle by Tariq Woolen). Penalty on Nick Leverett: Offensive Holding, 10 yards (accepted)",3.58,3.05,10.0,2022,138
