Unnamed: 0,ARI,LAR,week,year,game_id
First Downs,18,18,10.0,2022,148
Rush-Yds-TDs,26-78-2,20-66-1,10.0,2022,148
Cmp-Att-Yd-TD-INT,26-37-238-1-0,25-37-209-1-1,10.0,2022,148
Sacked-Yards,2-18,3-19,10.0,2022,148
Net Pass Yards,220,190,10.0,2022,148
Total Yards,298,256,10.0,2022,148
Fumbles-Lost,2-0,2-1,10.0,2022,148
Turnovers,0,2,10.0,2022,148
Penalties-Yards,10-67,5-29,10.0,2022,148
Third Down Conv.,5-15,3-11,10.0,2022,148
Fourth Down Conv.,3-3,2-2,10.0,2022,148
Time of Possession,32:01,27:59,10.0,2022,148
