Quarter,Time,Down,ToGo,Location,LAC,SFO,Detail,EPB,EPA,week,year,game_id
,,,,,,,"49ers won the coin toss and deferred, Chargers to receive the opening kickoff.",,,10.0,2022,149
1.0,15:00,,,SFO 35,0.0,0.0,"Robbie Gould kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,149
1.0,15:00,1.0,10.0,LAC 25,0.0,0.0,Austin Ekeler right tackle for no gain (tackle by Hassan Ridgeway),0.61,0.06,10.0,2022,149
1.0,14:41,2.0,10.0,LAC 25,0.0,0.0,Justin Herbert pass complete short right to Gerald Everett for 6 yards (tackle by Nick Bosa),0.06,0.17,10.0,2022,149
1.0,14:10,3.0,4.0,LAC 31,0.0,0.0,Justin Herbert pass complete short middle to Austin Ekeler for 14 yards (tackle by Dre Greenlaw),0.17,1.93,10.0,2022,149
1.0,13:38,1.0,10.0,LAC 45,0.0,0.0,Isaiah Spiller up the middle for 1 yard (tackle by Kerry Hyder and Azeez Al-Shaair),1.93,1.52,10.0,2022,149
1.0,13:04,2.0,9.0,LAC 46,0.0,0.0,Austin Ekeler left tackle for 5 yards (tackle by Dre Greenlaw and Fred Warner),1.52,1.49,10.0,2022,149
1.0,12:22,3.0,4.0,SFO 49,0.0,0.0,Justin Herbert pass complete short right to Gerald Everett for 17 yards (tackle by Fred Warner),1.49,3.45,10.0,2022,149
1.0,11:42,1.0,10.0,SFO 32,6.0,0.0,"Justin Herbert pass complete deep left to DeAndre Carter for 32 yards, touchdown",3.45,7.0,10.0,2022,149
1.0,11:35,,,SFO 15,7.0,0.0,Cameron Dicker kicks extra point good,0.0,0.0,10.0,2022,149
1.0,11:35,,,LAC 35,7.0,0.0,"Cameron Dicker kicks off 63 yards, returned by Ray-Ray McCloud for 29 yards (tackle by Derrek Tuszka and Troy Reeder)",0.0,1.0,10.0,2022,149
1.0,11:29,1.0,10.0,SFO 31,7.0,0.0,Christian McCaffrey right tackle for 4 yards (tackle by Derwin James),1.0,1.0,10.0,2022,149
1.0,10:54,2.0,6.0,SFO 35,7.0,0.0,Christian McCaffrey up the middle for 5 yards (tackle by Nasir Adderley),1.0,0.96,10.0,2022,149
1.0,10:34,3.0,1.0,SFO 40,7.0,0.0,Christian McCaffrey left guard for 7 yards (tackle by Drue Tranquill),0.96,2.06,10.0,2022,149
1.0,9:56,1.0,10.0,SFO 47,7.0,0.0,Christian McCaffrey up the middle for -1 yards (tackle by Sebastian Joseph-Day),2.06,1.38,10.0,2022,149
