Quarter,Time,Tm,Detail,JAX,KAN,week,year,game_id
1.0,3:32,Chiefs,Kadarius Toney 6 yard pass from Patrick Mahomes (Harrison Butker kick),0,7,10.0,2022,144
2.0,9:55,Chiefs,Marquez Valdes-Scantling 18 yard pass from Patrick Mahomes (Harrison Butker kick),0,14,10.0,2022,144
,0:46,Chiefs,Noah Gray 13 yard pass from Patrick Mahomes (Harrison Butker kick failed),0,20,10.0,2022,144
,0:11,Jaguars,Christian Kirk 3 yard pass from Trevor Lawrence (Riley Patterson kick),7,20,10.0,2022,144
3.0,5:46,Jaguars,Riley Patterson 35 yard field goal,10,20,10.0,2022,144
,0:38,Chiefs,Travis Kelce 7 yard pass from Patrick Mahomes (Harrison Butker kick),10,27,10.0,2022,144
4.0,5:26,Jaguars,Christian Kirk 19 yard pass from Trevor Lawrence (Riley Patterson kick),17,27,10.0,2022,144
