Quarter,Time,Down,ToGo,Location,NOR,PIT,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Saints won the coin toss and deferred, Steelers to receive the opening kickoff.",,,10.0,2022,145
1.0,15:00,,,NOR 35,0.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,145
1.0,15:00,1.0,10.0,PIT 25,0.0,0.0,Kenny Pickett pass incomplete short middle intended for George Pickens,0.61,0.06,10.0,2022,145
1.0,14:55,2.0,10.0,PIT 25,0.0,0.0,Kenny Pickett pass complete short middle to Gunner Olszewski for 4 yards (tackle by Alontae Taylor),0.06,-0.1,10.0,2022,145
1.0,14:29,3.0,6.0,PIT 29,0.0,0.0,Kenny Pickett pass complete short left to George Pickens for 14 yards (tackle by Tyrann Mathieu),-0.1,1.8,10.0,2022,145
1.0,14:01,1.0,10.0,PIT 43,0.0,0.0,Najee Harris up the middle for 3 yards (tackle by Malcolm Roach and Cameron Jordan),1.8,1.66,10.0,2022,145
1.0,13:22,2.0,7.0,PIT 46,0.0,0.0,Kenny Pickett pass incomplete short right,1.66,0.96,10.0,2022,145
1.0,13:16,3.0,7.0,PIT 46,0.0,0.0,Kenny Pickett pass incomplete short right intended for Pat Freiermuth (defended by Chris Harris),0.96,-0.32,10.0,2022,145
1.0,13:12,4.0,7.0,PIT 46,0.0,0.0,"Pressley Harvin punts 45 yards, fair catch by Rashid Shaheed at NO-9",-0.32,0.38,10.0,2022,145
1.0,13:04,1.0,10.0,NOR 9,0.0,0.0,"Penalty on Juwan Johnson: False Start, 4 yards (accepted) (no play)",-0.38,-0.53,10.0,2022,145
1.0,13:04,1.0,14.0,NOR 5,0.0,0.0,Alvin Kamara right guard for no gain (tackle by Cameron Heyward and T.J. Watt),-0.53,-1.07,10.0,2022,145
1.0,12:29,2.0,14.0,NOR 5,0.0,0.0,Taysom Hill right guard for 1 yard (tackle by Larry Ogunjobi and T.J. Watt),-1.07,-1.77,10.0,2022,145
1.0,11:47,3.0,13.0,NOR 6,0.0,0.0,Andy Dalton pass complete short right to Juwan Johnson for 3 yards (tackle by Robert Spillane),-1.77,-2.49,10.0,2022,145
1.0,11:07,4.0,10.0,NOR 9,0.0,0.0,"Blake Gillikin punts 48 yards, fair catch by Steven Sims at PIT-43",-2.49,-1.8,10.0,2022,145
1.0,10:59,1.0,10.0,PIT 43,0.0,0.0,Najee Harris up the middle for 5 yards (tackle by Payton Turner and Demario Davis),1.8,1.93,10.0,2022,145
1.0,10:27,2.0,5.0,PIT 48,0.0,0.0,Najee Harris right guard for 7 yards (tackle by Kentavius Street),1.93,2.59,10.0,2022,145
1.0,9:49,1.0,10.0,NOR 45,0.0,0.0,Kenny Pickett sacked by Chris Harris for -4 yards,2.59,1.5,10.0,2022,145
1.0,9:08,2.0,14.0,NOR 49,0.0,0.0,Kenny Pickett pass complete to Connor Heyward for 1 yard (tackle by Alontae Taylor),1.5,0.96,10.0,2022,145
1.0,8:29,3.0,13.0,NOR 48,0.0,0.0,Kenny Pickett pass complete short left to Pat Freiermuth for 11 yards (tackle by Alontae Taylor),0.96,0.79,10.0,2022,145
1.0,7:46,4.0,2.0,NOR 37,0.0,0.0,Kenny Pickett pass complete short left to Jaylen Warren for 7 yards (tackle by P.J. Williams),0.79,3.58,10.0,2022,145
1.0,7:08,1.0,10.0,NOR 30,0.0,0.0,Jaylen Warren left end for 2 yards (tackle by Malcolm Roach and Demario Davis),3.58,3.3,10.0,2022,145
1.0,6:28,2.0,8.0,NOR 28,0.0,0.0,"Kenny Pickett pass incomplete short left intended for Diontae Johnson. Penalty on Alontae Taylor: Defensive Pass Interference, 11 yards (accepted) (no play)",3.3,4.44,10.0,2022,145
1.0,6:23,1.0,10.0,NOR 17,0.0,0.0,Kenny Pickett pass incomplete short left,4.44,3.85,10.0,2022,145
1.0,6:16,2.0,10.0,NOR 17,0.0,0.0,Kenny Pickett pass complete short middle to Diontae Johnson for 11 yards (tackle by Alontae Taylor),3.85,5.83,10.0,2022,145
1.0,5:35,1.0,6.0,NOR 6,0.0,0.0,Kenny Pickett pass incomplete short left intended for Pat Freiermuth,5.83,4.95,10.0,2022,145
1.0,5:30,2.0,6.0,NOR 6,0.0,0.0,Najee Harris left guard for 5 yards (tackle by Malcolm Roach),4.95,5.17,10.0,2022,145
1.0,5:09,3.0,1.0,NOR 1,0.0,6.0,"George Pickens right guard for 1 yard, touchdown",5.17,7.0,10.0,2022,145
1.0,5:06,,,NOR 15,0.0,7.0,Matthew Wright kicks extra point good,0.0,0.0,10.0,2022,145
1.0,5:06,,,PIT 35,0.0,7.0,"Matthew Wright kicks off 68 yards, returned by Rashid Shaheed for 23 yards (tackle by Arthur Maulet). Penalty on Tre'Quan Smith: Defensive Holding, 10 yards (accepted)",0.0,-0.38,10.0,2022,145
1.0,4:58,1.0,10.0,NOR 10,0.0,7.0,Andy Dalton pass complete short left to Alvin Kamara for 2 yards (tackle by Alex Highsmith and Damontae Kazee),-0.38,-0.63,10.0,2022,145
1.0,4:23,2.0,8.0,NOR 12,0.0,7.0,Andy Dalton pass complete short left to Adam Trautman for 18 yards (tackle by Devin Bush and Terrell Edmunds),-0.63,0.94,10.0,2022,145
1.0,3:45,1.0,10.0,NOR 30,0.0,7.0,Alvin Kamara left tackle for 1 yard (tackle by Montravius Adams and Terrell Edmunds),0.94,0.53,10.0,2022,145
1.0,3:08,2.0,9.0,NOR 31,0.0,7.0,Taysom Hill pass incomplete short right intended for Alvin Kamara,0.53,-0.16,10.0,2022,145
1.0,3:03,3.0,9.0,NOR 31,0.0,7.0,Andy Dalton pass complete short right to Alvin Kamara for 7 yards (tackle by Robert Spillane and Arthur Maulet),-0.16,-0.85,10.0,2022,145
1.0,2:20,4.0,2.0,NOR 38,0.0,7.0,"Blake Gillikin punts 62 yards, touchback.",-0.85,-0.28,10.0,2022,145
1.0,2:11,1.0,10.0,PIT 20,0.0,7.0,Kenny Pickett pass incomplete short left,0.28,-0.27,10.0,2022,145
1.0,2:03,2.0,10.0,PIT 20,0.0,7.0,Jaylen Warren right guard for 2 yards (tackle by Carl Granderson and Demario Davis),-0.27,-0.69,10.0,2022,145
1.0,1:41,3.0,8.0,PIT 22,0.0,7.0,"Kenny Pickett pass incomplete deep right intended for Diontae Johnson. Penalty on Kentavius Street: Roughing the Passer, 15 yards (accepted) (no play)",-0.69,1.4,10.0,2022,145
1.0,1:36,1.0,10.0,PIT 37,0.0,7.0,Kenny Pickett pass complete short right to Diontae Johnson for 7 yards (tackle by Paulson Adebo),1.4,1.8,10.0,2022,145
1.0,1:00,2.0,3.0,PIT 44,0.0,7.0,Najee Harris left guard for 36 yards (tackle by Paulson Adebo),1.8,4.24,10.0,2022,145
1.0,0:29,1.0,10.0,NOR 20,0.0,7.0,Steven Sims for -1 yards (tackle by Tyrann Mathieu),4.24,3.56,10.0,2022,145
2.0,15:00,2.0,11.0,NOR 21,0.0,7.0,Kenny Pickett pass incomplete deep right intended for Diontae Johnson,3.56,2.87,10.0,2022,145
2.0,14:55,3.0,11.0,NOR 21,0.0,7.0,Kenny Pickett pass complete short right to Pat Freiermuth for 6 yards (tackle by P.J. Williams),2.87,2.49,10.0,2022,145
2.0,14:20,4.0,5.0,NOR 15,0.0,10.0,Matthew Wright 33 yard field goal good,2.49,3.0,10.0,2022,145
2.0,14:17,,,PIT 35,0.0,10.0,"Matthew Wright kicks off 68 yards, returned by Rashid Shaheed for 31 yards (tackle by Benny Snell and James Pierre)",0.0,0.81,10.0,2022,145
2.0,14:12,1.0,10.0,NOR 28,0.0,10.0,Andy Dalton pass complete short right to Chris Olave for 12 yards (tackle by Levi Wallace),0.81,1.6,10.0,2022,145
