Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Austin Ekeler,LAC,6,24,0,1.0,16,2.7,8,1.3,0,,10.0,2022,149
Justin Herbert,LAC,5,22,0,2.0,20,4.0,2,0.4,0,,10.0,2022,149
Isaiah Spiller,LAC,4,3,0,,1,0.3,2,0.5,0,,10.0,2022,149
Sony Michel,LAC,1,2,0,,1,1.0,1,1.0,0,,10.0,2022,149
Elijah Mitchell,SFO,18,89,0,6.0,54,3.0,35,1.9,0,,10.0,2022,149
Christian McCaffrey,SFO,14,38,1,3.0,22,1.6,16,1.1,1,14.0,10.0,2022,149
Jimmy Garoppolo,SFO,5,3,1,2.0,2,0.4,1,0.2,0,,10.0,2022,149
Deebo Samuel,SFO,4,27,0,1.0,13,3.3,14,3.5,1,4.0,10.0,2022,149
