Quarter,Time,Down,ToGo,Location,IND,LVR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Colts won the coin toss and deferred, Raiders to receive the opening kickoff.",,,10.0,2022,146
1.0,15:00,,,IND 35,0.0,0.0,"Chase McLaughlin kicks off 64 yards, returned by Ameer Abdullah for 29 yards (tackle by Rodney Thomas and Nick Cross)",0.0,0.94,10.0,2022,146
1.0,14:54,1.0,10.0,LVR 30,0.0,0.0,Derek Carr pass incomplete deep middle intended for Mack Hollins,0.94,0.39,10.0,2022,146
1.0,14:47,2.0,10.0,LVR 30,0.0,0.0,Josh Jacobs left end for 5 yards (tackle by Rodney McLeod and Kenny Moore),0.39,0.37,10.0,2022,146
1.0,14:00,3.0,5.0,LVR 35,0.0,0.0,Derek Carr pass incomplete short right intended for Keelan Cole (defended by Isaiah Rodgers),0.37,-1.04,10.0,2022,146
1.0,13:54,4.0,5.0,LVR 35,0.0,0.0,"AJ Cole punts 50 yards, returned by Keke Coutee for 3 yards (tackle by Curtis Bolton)",-1.04,-0.04,10.0,2022,146
1.0,13:44,1.0,10.0,IND 18,0.0,0.0,"Penalty on Braden Smith: False Start, 5 yards (accepted)",0.04,-0.45,10.0,2022,146
1.0,13:44,1.0,15.0,IND 13,0.0,0.0,Matt Ryan pass complete short left to Parris Campbell for 10 yards (tackle by Trevon Moehrig),-0.45,0.28,10.0,2022,146
1.0,13:11,2.0,5.0,IND 23,0.0,0.0,Jonathan Taylor left end for no gain (tackle by Chandler Jones),0.28,-0.53,10.0,2022,146
1.0,12:29,3.0,5.0,IND 23,0.0,0.0,"Matt Ryan pass complete to Alec Pierce for 8 yards LVR challenged the pass completion ruling, and the original play was overturned. Matt Ryan pass incomplete short middle intended for Alec Pierce (defended by Rock Ya-Sin)",-0.53,-1.83,10.0,2022,146
1.0,12:25,4.0,5.0,IND 23,0.0,0.0,"Matt Haack punts 50 yards, returned by Keelan Cole for 9 yards (tackle by Luke Rhodes)",-1.83,-1.33,10.0,2022,146
