Unnamed: 0,IND,LVR,week,year,game_id
First Downs,20,18,10.0,2022,146
Rush-Yds-TDs,30-207-2,24-77-1,10.0,2022,146
Cmp-Att-Yd-TD-INT,21-28-222-1-0,24-38-248-2-0,10.0,2022,146
Sacked-Yards,1-14,2-16,10.0,2022,146
Net Pass Yards,208,232,10.0,2022,146
Total Yards,415,309,10.0,2022,146
Fumbles-Lost,2-1,0-0,10.0,2022,146
Turnovers,1,0,10.0,2022,146
Penalties-Yards,4-25,10-74,10.0,2022,146
Third Down Conv.,6-11,5-13,10.0,2022,146
Fourth Down Conv.,0-0,1-3,10.0,2022,146
Time of Possession,29:01,30:59,10.0,2022,146
