Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Nick Chubb,CLE,11,63,1,2.0,23,2.1,40,3.6,2,5.5,10.0,2022,140
Jacoby Brissett,CLE,7,40,0,4.0,38,5.4,2,0.3,0,,10.0,2022,140
Kareem Hunt,CLE,6,9,0,1.0,3,0.5,6,1.0,0,,10.0,2022,140
Jeff Wilson,MIA,17,119,1,6.0,74,4.4,45,2.6,2,8.5,10.0,2022,140
Raheem Mostert,MIA,8,65,1,4.0,52,6.5,13,1.6,0,,10.0,2022,140
Salvon Ahmed,MIA,3,11,0,1.0,4,1.3,7,2.3,0,,10.0,2022,140
Skylar Thompson,MIA,3,0,0,0.0,0,0.0,0,0.0,0,,10.0,2022,140
Robert Hunt,MIA,1,0,0,,0,0.0,0,0.0,0,,10.0,2022,140
Durham Smythe,MIA,1,0,0,,0,0.0,0,0.0,0,,10.0,2022,140
Tua Tagovailoa,MIA,1,0,0,0.0,0,0.0,0,0.0,0,,10.0,2022,140
