Quarter,Time,Down,ToGo,Location,CLE,MIA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Dolphins won the coin toss and deferred, Browns to receive the opening kickoff.",,,10.0,2022,140
1.0,15:00,,,MIA 35,0.0,0.0,"Jason Sanders kicks off 66 yards, returned by Jerome Ford for 48 yards (tackle by Keion Crossen)",0.0,2.06,10.0,2022,140
1.0,14:52,1.0,10.0,CLE 47,0.0,0.0,Jacoby Brissett pass complete deep left to Donovan Peoples-Jones for 38 yards (tackle by Kader Kohou),2.06,4.58,10.0,2022,140
1.0,14:10,1.0,10.0,MIA 15,0.0,0.0,Nick Chubb left guard for 1 yard (tackle by Christian Wilkins),4.58,4.11,10.0,2022,140
1.0,13:29,2.0,9.0,MIA 14,0.0,0.0,Jacoby Brissett pass complete short middle to Pharaoh Brown for 5 yards (tackle by Elandon Roberts),4.11,4.22,10.0,2022,140
1.0,12:43,3.0,4.0,MIA 9,0.0,0.0,"Penalty on Emmanuel Ogbah: Neutral Zone Infraction, 5 yards (accepted) (no play)",4.22,6.28,10.0,2022,140
1.0,12:25,1.0,4.0,MIA 4,0.0,0.0,"Jacoby Brissett pass incomplete short left intended for Donovan Peoples-Jones. Penalty on Jerome Baker: Defensive Pass Interference, 3 yards (accepted) (no play)",6.28,6.97,10.0,2022,140
1.0,12:18,1.0,1.0,MIA 1,6.0,0.0,"Jacoby Brissett pass complete short left to Harrison Bryant for 1 yard, touchdown",6.97,7.0,10.0,2022,140
1.0,12:13,,,MIA 15,7.0,0.0,Cade York kicks extra point good,0.0,0.0,10.0,2022,140
1.0,12:13,,,CLE 35,7.0,0.0,"Cade York kicks off 62 yards, returned by Raheem Mostert for 13 yards (tackle by D'Anthony Bell)",0.0,-0.14,10.0,2022,140
1.0,12:08,1.0,10.0,MIA 16,7.0,0.0,Tua Tagovailoa pass complete short right to Raheem Mostert for 4 yards (tackle by Sione Takitaki),-0.14,0.01,10.0,2022,140
1.0,11:32,2.0,6.0,MIA 20,7.0,0.0,Raheem Mostert left guard for 7 yards (tackle by Grant Delpit),0.01,0.74,10.0,2022,140
1.0,10:50,1.0,10.0,MIA 27,7.0,0.0,Raheem Mostert right end for 2 yards (tackle by Deion Jones and Grant Delpit),0.74,0.47,10.0,2022,140
1.0,10:16,2.0,8.0,MIA 29,7.0,0.0,Tua Tagovailoa pass complete short left to Raheem Mostert for 5 yards (tackle by John Johnson and Deion Jones),0.47,0.43,10.0,2022,140
1.0,9:35,3.0,3.0,MIA 34,7.0,0.0,Tua Tagovailoa pass complete short left to Tyreek Hill for 2 yards (tackle by Denzel Ward),0.43,-0.98,10.0,2022,140
