Quarter,Time,Down,ToGo,Location,MIN,BUF,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Vikings won the coin toss and deferred, Bills to receive the opening kickoff.",,,10.0,2022,139
1,15:00,,,MIN 35,0.0,0.0,"Greg Joseph kicks off 61 yards, returned by Duke Johnson for 20 yards (tackle by C.J. Ham)",0.0,0.54,10.0,2022,139
1,14:54,1.0,10.0,BUF 24,0.0,0.0,Josh Allen pass complete short left to Stefon Diggs for -4 yards (tackle by Jonathan Bullard),0.54,-0.54,10.0,2022,139
1,14:07,2.0,14.0,BUF 20,0.0,0.0,Josh Allen pass complete short right to Khalil Shakir for 6 yards (tackle by Chandon Sullivan),-0.54,-0.43,10.0,2022,139
1,13:23,,,,,,Timeout #1 by Buffalo Bills,,,10.0,2022,139
1,13:23,3.0,8.0,BUF 26,0.0,0.0,Josh Allen pass incomplete short left intended for Gabriel Davis (defended by Chandon Sullivan),-0.43,-1.63,10.0,2022,139
1,13:18,4.0,8.0,BUF 26,0.0,0.0,"Sam Martin punts 58 yards, returned by Jalen Reagor for 10 yards (tackle by Jake Kumerow)",-1.63,-0.67,10.0,2022,139
1,13:07,1.0,10.0,MIN 26,0.0,0.0,Kirk Cousins pass incomplete short left intended for K.J. Osborn (defended by A.J. Epenesa),0.67,0.13,10.0,2022,139
1,13:03,,,,,,Timeout #1 by Minnesota Vikings,,,10.0,2022,139
1,13:03,2.0,10.0,MIN 26,0.0,0.0,Dalvin Cook left tackle for -1 yards (tackle by Damar Hamlin),0.13,-0.69,10.0,2022,139
1,12:22,3.0,11.0,MIN 25,0.0,0.0,Kirk Cousins pass complete deep right to Justin Jefferson for 46 yards (tackle by Dane Jackson),-0.69,3.64,10.0,2022,139
1,11:36,1.0,10.0,BUF 29,0.0,0.0,Dalvin Cook left tackle for 1 yard (tackle by A.J. Epenesa),3.64,3.24,10.0,2022,139
1,11:03,2.0,9.0,BUF 28,0.0,0.0,Kirk Cousins pass complete short right to T.J. Hockenson for 6 yards (tackle by Taron Johnson and Christian Benford),3.24,3.34,10.0,2022,139
1,10:19,3.0,3.0,BUF 22,6.0,0.0,"Kirk Cousins pass complete deep right to Justin Jefferson for 22 yards, touchdown",3.34,7.0,10.0,2022,139
1,10:13,,,BUF 15,7.0,0.0,Greg Joseph kicks extra point good,0.0,0.0,10.0,2022,139
1,10:13,,,MIN 35,7.0,0.0,"Greg Joseph kicks off 55 yards, returned by Duke Johnson for 43 yards (tackle by Andrew Booth)",0.0,2.46,10.0,2022,139
1,10:05,1.0,10.0,MIN 47,7.0,0.0,"Josh Allen pass complete short right to Stefon Diggs for 7 yards (tackle by Eric Kendricks). Penalty on Eric Kendricks: Horse Collar Tackle, 15 yards (accepted)",2.46,3.91,10.0,2022,139
1,9:57,1.0,10.0,MIN 25,7.0,0.0,Devin Singletary right tackle for 21 yards (tackle by Harrison Phillips and Chandon Sullivan),3.91,6.28,10.0,2022,139
1,8:56,1.0,4.0,MIN 4,7.0,0.0,Devin Singletary up the middle for -1 yards (tackle by Jonathan Bullard and Camryn Bynum),6.28,5.15,10.0,2022,139
1,8:14,2.0,5.0,MIN 5,7.0,6.0,"Devin Singletary right tackle for 5 yards, touchdown",5.15,7.0,10.0,2022,139
1,8:10,,,MIN 15,7.0,7.0,Tyler Bass kicks extra point good,0.0,0.0,10.0,2022,139
1,8:10,,,BUF 35,7.0,7.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,139
1,8:10,1.0,10.0,MIN 25,7.0,7.0,"Kirk Cousins aborted snap, recovered by Dalvin Cook at MIN-20 (tackle by A.J. Epenesa)",0.61,-0.61,10.0,2022,139
1,7:32,2.0,15.0,MIN 20,7.0,7.0,Kirk Cousins pass complete short right to Justin Jefferson for 4 yards (tackle by Christian Benford and Tremaine Edmunds),-0.61,-0.76,10.0,2022,139
1,7:07,3.0,11.0,MIN 24,7.0,7.0,Kirk Cousins pass complete short left to Dalvin Cook for 10 yards (tackle by Jordan Phillips),-0.76,-1.11,10.0,2022,139
1,6:25,4.0,1.0,MIN 34,7.0,7.0,"Ryan Wright punts 44 yards, returned by Nyheim Hines for 8 yards (tackle by Andrew DePaola and Theo Jackson)",-1.11,-0.94,10.0,2022,139
1,6:13,1.0,10.0,BUF 30,7.0,7.0,Josh Allen pass complete deep left to Gabriel Davis for 19 yards (tackle by Akayleb Evans),0.94,2.19,10.0,2022,139
1,5:30,1.0,10.0,BUF 49,7.0,7.0,James Cook left end for -1 yards (tackle by Akayleb Evans),2.19,1.51,10.0,2022,139
1,4:54,2.0,11.0,BUF 48,7.0,7.0,Devin Singletary left guard for 8 yards (tackle by Eric Kendricks),1.51,1.88,10.0,2022,139
1,4:19,3.0,3.0,MIN 44,7.0,7.0,Josh Allen pass complete short right to Isaiah McKenzie for 8 yards,1.88,3.18,10.0,2022,139
1,3:42,1.0,10.0,MIN 36,7.0,7.0,Josh Allen pass complete deep right to Stefon Diggs for 16 yards,3.18,4.24,10.0,2022,139
1,3:13,1.0,10.0,MIN 20,7.0,7.0,Devin Singletary left tackle for -1 yards (tackle by Jonathan Bullard and James Lynch),4.24,3.56,10.0,2022,139
1,2:38,2.0,11.0,MIN 21,7.0,7.0,Josh Allen pass incomplete deep middle intended for Gabriel Davis,3.56,2.87,10.0,2022,139
1,2:34,3.0,11.0,MIN 21,7.0,7.0,Josh Allen scrambles up the middle for 12 yards (tackle by Harrison Smith and Chandon Sullivan),2.87,5.14,10.0,2022,139
1,1:48,1.0,9.0,MIN 9,7.0,7.0,James Cook right end for 8 yards (tackle by Jordan Hicks),5.14,5.91,10.0,2022,139
1,1:08,2.0,1.0,MIN 1,7.0,13.0,"Devin Singletary right end for 1 yard, touchdown",5.91,7.0,10.0,2022,139
1,1:04,,,MIN 15,7.0,14.0,Tyler Bass kicks extra point good,0.0,0.0,10.0,2022,139
1,1:04,,,BUF 35,7.0,14.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,139
1,1:04,1.0,10.0,MIN 25,7.0,14.0,Dalvin Cook right tackle for 11 yards (tackle by Damar Hamlin),0.61,1.33,10.0,2022,139
1,0:32,1.0,10.0,MIN 36,7.0,14.0,Kirk Cousins pass deep middle intended for K.J. Osborn is intercepted by Christian Benford at BUF-38 and returned for 35 yards (tackle by Dalvin Cook),1.33,-3.78,10.0,2022,139
1,0:18,1.0,10.0,MIN 27,7.0,14.0,Josh Allen pass complete short left to Nyheim Hines for 9 yards (tackle by Jordan Hicks),3.78,4.53,10.0,2022,139
2,15:00,2.0,1.0,MIN 18,7.0,14.0,James Cook left guard for no gain (tackle by James Lynch),4.53,3.84,10.0,2022,139
2,14:21,3.0,1.0,MIN 18,7.0,14.0,Duke Johnson up the middle for 4 yards (tackle by James Lynch),3.84,4.65,10.0,2022,139
2,13:44,1.0,10.0,MIN 14,7.0,14.0,Devin Singletary up the middle for -1 yards (tackle by James Lynch),4.65,3.85,10.0,2022,139
2,13:10,2.0,11.0,MIN 15,7.0,14.0,Josh Allen pass incomplete short right intended for Stefon Diggs (defended by Za'Darius Smith) (defended by Jordan Hicks),3.85,3.06,10.0,2022,139
2,13:02,3.0,11.0,MIN 15,7.0,14.0,Josh Allen pass incomplete short left intended for Devin Singletary,3.06,2.44,10.0,2022,139
2,12:57,4.0,11.0,MIN 15,7.0,17.0,Tyler Bass 34 yard field goal good,2.44,3.0,10.0,2022,139
2,12:53,,,BUF 35,7.0,17.0,"Tyler Bass kicks off 59 yards, returned by Kene Nwangwu for 39 yards (tackle by Tyrel Dodson and Tyler Bass)",0.0,1.93,10.0,2022,139
2,12:46,1.0,10.0,MIN 45,7.0,17.0,Kirk Cousins pass complete short left to T.J. Hockenson for 2 yards (tackle by Christian Benford),1.93,1.65,10.0,2022,139
2,12:07,2.0,8.0,MIN 47,7.0,17.0,Kirk Cousins scrambles right end for 1 yard (tackle by Taron Johnson),1.65,1.09,10.0,2022,139
2,11:42,3.0,7.0,MIN 48,7.0,17.0,Kirk Cousins pass complete short middle to Justin Jefferson for 14 yards (tackle by Dane Jackson),1.09,3.05,10.0,2022,139
2,11:03,1.0,10.0,BUF 38,7.0,17.0,Alexander Mattison right tackle for 9 yards (tackle by Tim Settle and Cameron Lewis),3.05,3.72,10.0,2022,139
2,10:08,2.0,1.0,BUF 29,7.0,17.0,Alexander Mattison left guard for 7 yards (tackle by Matt Milano and Shaq Lawson),3.72,4.11,10.0,2022,139
2,9:36,1.0,10.0,BUF 22,7.0,17.0,Kirk Cousins pass incomplete short left intended for K.J. Osborn (defended by A.J. Epenesa),4.11,3.56,10.0,2022,139
2,9:31,2.0,10.0,BUF 22,7.0,17.0,Kirk Cousins pass incomplete short right intended for T.J. Hockenson (defended by Tremaine Edmunds),3.56,2.87,10.0,2022,139
