Unnamed: 0,ATL,CAR,week,year,game_id
First Downs,20,18,10.0,2022,137
Rush-Yds-TDs,25-138-0,47-232-2,10.0,2022,137
Cmp-Att-Yd-TD-INT,19-30-186-2-1,10-16-108-0-0,10.0,2022,137
Sacked-Yards,5-33,1-7,10.0,2022,137
Net Pass Yards,153,101,10.0,2022,137
Total Yards,291,333,10.0,2022,137
Fumbles-Lost,0-0,0-0,10.0,2022,137
Turnovers,1,0,10.0,2022,137
Penalties-Yards,4-37,10-89,10.0,2022,137
Third Down Conv.,3-11,6-15,10.0,2022,137
Fourth Down Conv.,0-2,0-0,10.0,2022,137
Time of Possession,25:48,34:12,10.0,2022,137
