#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,15:00,LAC 25,7,3:25,75,Touchdown,0,Chargers,10.0,2022,149
2,1,4:10,LAC 13,6,3:26,38,Punt,0,Chargers,10.0,2022,149
3,1,0:34,SFO 32,4,0:42,3,Field Goal,0,Chargers,10.0,2022,149
4,2,13:34,LAC 30,3,1:26,4,Punt,0,Chargers,10.0,2022,149
5,2,10:25,SFO 46,9,3:43,39,Field Goal,0,Chargers,10.0,2022,149
6,2,1:57,LAC 25,11,1:57,54,Field Goal,0,Chargers,10.0,2022,149
7,3,8:52,LAC 25,5,2:22,31,Punt,0,Chargers,10.0,2022,149
8,3,3:38,LAC 21,6,3:45,16,Punt,0,Chargers,10.0,2022,149
9,4,7:54,LAC 25,3,1:14,3,Punt,0,Chargers,10.0,2022,149
10,4,2:03,LAC 1,4,0:46,7,Downs,0,Chargers,10.0,2022,149
11,4,0:58,LAC 23,1,0:15,0,Interception,0,Chargers,10.0,2022,149
