Unnamed: 0,WAS,PHI,week,year,game_id
First Downs,25,18,10.0,2022,150
Rush-Yds-TDs,49-152-2,20-94-1,10.0,2022,150
Cmp-Att-Yd-TD-INT,17-29-211-0-1,17-26-175-2-1,10.0,2022,150
Sacked-Yards,3-33,1-5,10.0,2022,150
Net Pass Yards,178,170,10.0,2022,150
Total Yards,330,264,10.0,2022,150
Fumbles-Lost,2-1,3-3,10.0,2022,150
Turnovers,2,4,10.0,2022,150
Penalties-Yards,5-58,7-75,10.0,2022,150
Third Down Conv.,12-21,5-8,10.0,2022,150
Fourth Down Conv.,1-1,0-0,10.0,2022,150
Time of Possession,40:24,19:36,10.0,2022,150
