Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Jacoby Brissett,CLE,0,0,0,0,0,10.0,2022,140
Nick Chubb,CLE,4,3,18,0,9,10.0,2022,140
Kareem Hunt,CLE,1,1,10,0,10,10.0,2022,140
Donovan Peoples-Jones,CLE,9,5,99,0,38,10.0,2022,140
Amari Cooper,CLE,3,3,32,0,12,10.0,2022,140
David Bell,CLE,5,3,24,0,13,10.0,2022,140
Harrison Bryant,CLE,3,3,15,1,12,10.0,2022,140
Pharaoh Brown,CLE,5,2,13,0,8,10.0,2022,140
Anthony Schwartz,CLE,1,1,3,0,3,10.0,2022,140
Michael Woods II,CLE,2,0,0,0,0,10.0,2022,140
D'Ernest Johnson,CLE,1,1,-2,0,-2,10.0,2022,140
Tua Tagovailoa,MIA,0,0,0,0,0,10.0,2022,140
Skylar Thompson,MIA,0,0,0,0,0,10.0,2022,140
Cedrick Wilson Jr.,MIA,1,1,7,0,7,10.0,2022,140
Jeff Wilson,MIA,5,2,24,0,14,10.0,2022,140
Raheem Mostert,MIA,4,4,22,0,8,10.0,2022,140
Salvon Ahmed,MIA,0,0,0,0,0,10.0,2022,140
Jaylen Waddle,MIA,5,4,66,0,29,10.0,2022,140
Trent Sherfield,MIA,5,4,63,1,27,10.0,2022,140
Alec Ingold,MIA,4,4,45,1,17,10.0,2022,140
Tyreek Hill,MIA,6,5,44,1,20,10.0,2022,140
Mike Gesicki,MIA,3,2,31,0,16,10.0,2022,140
Robert Hunt,MIA,0,0,0,0,0,10.0,2022,140
Durham Smythe,MIA,0,0,0,0,0,10.0,2022,140
