#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,14:02,SEA 25,4,2:57,-7,Punt,0,Seahawks,10.0,2022,138
2,1,8:53,SEA 42,5,3:41,14,Punt,0,Seahawks,10.0,2022,138
3,2,13:40,SEA 27,3,1:35,8,Punt,0,Seahawks,10.0,2022,138
4,2,4:31,SEA 21,5,1:38,7,Punt,0,Seahawks,10.0,2022,138
5,2,1:49,SEA 30,3,1:21,7,Punt,0,Seahawks,10.0,2022,138
6,3,15:00,SEA 25,8,2:55,38,Field Goal,0,Seahawks,10.0,2022,138
7,3,6:33,SEA 16,10,4:04,71,Fumble,0,Seahawks,10.0,2022,138
8,4,10:48,SEA 23,5,2:28,77,Touchdown,0,Seahawks,10.0,2022,138
9,4,6:24,TAM 45,8,2:26,45,Touchdown,0,Seahawks,10.0,2022,138
