Unnamed: 0,DET,CHI,week,year,game_id
First Downs,25,19,10.0,2022,143
Rush-Yds-TDs,31-95-2,35-258-2,10.0,2022,143
Cmp-Att-Yd-TD-INT,19-26-236-1-0,12-20-167-2-1,10.0,2022,143
Sacked-Yards,2-8,3-17,10.0,2022,143
Net Pass Yards,228,150,10.0,2022,143
Total Yards,323,408,10.0,2022,143
Fumbles-Lost,1-0,1-0,10.0,2022,143
Turnovers,0,1,10.0,2022,143
Penalties-Yards,2-15,9-86,10.0,2022,143
Third Down Conv.,5-11,6-11,10.0,2022,143
Fourth Down Conv.,1-1,0-1,10.0,2022,143
Time of Possession,30:48,29:12,10.0,2022,143
