Quarter,Time,Down,ToGo,Location,JAX,KAN,Detail,EPB,EPA,week,year,game_id
1.0,8:56,1.0,10.0,JAX 24,0.0,0.0,Trevor Lawrence pass complete deep left to Christian Kirk for 24 yards (tackle by L'Jarius Sneed),0.54,2.13,10.0,2022,144
1.0,8:18,1.0,10.0,JAX 48,0.0,0.0,Travis Etienne right end for -1 yards (tackle by Willie Gay and Leo Chenal),2.13,1.45,10.0,2022,144
1.0,7:40,2.0,11.0,JAX 47,0.0,0.0,Trevor Lawrence pass complete short left to Christian Kirk for 8 yards (tackle by L'Jarius Sneed and Trent McDuffie),1.45,1.82,10.0,2022,144
1.0,7:02,3.0,3.0,KAN 45,0.0,0.0,Trevor Lawrence right end for 1 yard (tackle by George Karlaftis and Willie Gay),1.82,0.33,10.0,2022,144
1.0,6:23,4.0,2.0,KAN 44,0.0,0.0,"Logan Cooke punts 44 yards, touchback.",0.33,-0.28,10.0,2022,144
1.0,6:10,1.0,10.0,KAN 20,0.0,0.0,Isiah Pacheco right end for 13 yards (tackle by Andre Cisco),0.28,1.14,10.0,2022,144
1.0,5:42,1.0,10.0,KAN 33,0.0,0.0,Patrick Mahomes pass complete deep left to Travis Kelce for 46 yards (tackle by Rayshawn Jenkins),1.14,4.17,10.0,2022,144
1.0,5:00,1.0,10.0,JAX 21,0.0,0.0,Patrick Mahomes pass complete short right to Jody Fortson for 6 yards (tackle by Darious Williams),4.17,4.55,10.0,2022,144
1.0,4:21,2.0,4.0,JAX 15,0.0,0.0,Isiah Pacheco right end for 9 yards (tackle by Andre Cisco),4.55,5.83,10.0,2022,144
1.0,3:39,1.0,6.0,JAX 6,0.0,6.0,"Patrick Mahomes pass complete short right to Kadarius Toney for 6 yards, touchdown",5.83,7.0,10.0,2022,144
1.0,3:32,,,JAX 15,0.0,7.0,Harrison Butker kicks extra point good,0.0,0.0,10.0,2022,144
1.0,3:32,,,KAN 35,0.0,7.0,"Harrison Butker kicks off 65 yards, returned by Jamal Agnew for 33 yards (tackle by Michael Burton)",0.0,1.14,10.0,2022,144
1.0,3:27,1.0,10.0,JAX 33,0.0,7.0,Travis Etienne up the middle for 4 yards (tackle by Malik Herring and Carlos Dunlap),1.14,1.13,10.0,2022,144
1.0,2:45,2.0,6.0,JAX 37,0.0,7.0,Trevor Lawrence sacked by Leo Chenal for -1 yards,1.13,0.3,10.0,2022,144
1.0,2:00,3.0,7.0,JAX 36,0.0,7.0,Trevor Lawrence sacked by and Chris Jones for -9 yards and Carlos Dunlap for -9 yards,0.3,-1.57,10.0,2022,144
1.0,1:20,4.0,16.0,JAX 27,0.0,7.0,"Logan Cooke punts 52 yards, fair catch by Kadarius Toney at KC-21",-1.57,-0.34,10.0,2022,144
1.0,1:12,1.0,10.0,KAN 21,0.0,7.0,Isiah Pacheco right end for 4 yards (tackle by Adam Gotsis and Josh Allen),0.34,0.34,10.0,2022,144
1.0,0:32,2.0,6.0,KAN 25,0.0,7.0,Patrick Mahomes pass complete short middle to JuJu Smith-Schuster for 8 yards (tackle by Rayshawn Jenkins and Devin Lloyd),0.34,1.14,10.0,2022,144
2.0,15:00,1.0,10.0,KAN 33,0.0,7.0,Patrick Mahomes pass incomplete short right intended for Clyde Edwards-Helaire,1.14,0.59,10.0,2022,144
2.0,14:56,2.0,10.0,KAN 33,0.0,7.0,Patrick Mahomes pass incomplete short left intended for Clyde Edwards-Helaire,0.59,-0.1,10.0,2022,144
2.0,14:52,3.0,10.0,KAN 33,0.0,7.0,Patrick Mahomes pass incomplete short right intended for Marquez Valdes-Scantling,-0.1,-1.18,10.0,2022,144
2.0,14:46,4.0,10.0,KAN 33,0.0,7.0,"Tommy Townsend punts 40 yards, returned by Jamal Agnew for 19 yards (tackle by Jerick McKinnon and Bryan Cook)",-1.18,-1.99,10.0,2022,144
2.0,14:35,1.0,10.0,JAX 46,0.0,7.0,Travis Etienne left end for -1 yards (tackle by Nick Bolton and Michael Danna),1.99,1.32,10.0,2022,144
2.0,13:49,2.0,11.0,JAX 45,0.0,7.0,Trevor Lawrence pass incomplete deep left intended for Evan Engram,1.32,0.63,10.0,2022,144
2.0,13:44,3.0,11.0,JAX 45,0.0,7.0,Trevor Lawrence pass complete short right to Travis Etienne for 24 yards (tackle by Juan Thornhill and Justin Reid),0.63,3.51,10.0,2022,144
2.0,13:14,1.0,10.0,KAN 31,0.0,7.0,"Trevor Lawrence pass complete short right to Dan Arnold for no gain (tackle by Jaylen Watson). Penalty on Jawaan Taylor: Ineligible Downfield Pass, 5 yards (accepted) (no play)",3.51,3.18,10.0,2022,144
2.0,12:52,1.0,15.0,KAN 36,0.0,7.0,Trevor Lawrence scrambles left end for 4 yards (tackle by George Karlaftis and Darius Harris),3.18,2.83,10.0,2022,144
2.0,12:13,2.0,11.0,KAN 32,0.0,7.0,Trevor Lawrence sacked by Khalen Saunders for -1 yards,2.83,2.02,10.0,2022,144
