Quarter,Time,Tm,Detail,ARI,LAR,week,year,game_id
1.0,6:16,Rams,Matt Gay 36 yard field goal,0,3,10.0,2022,148
,0:13,Cardinals,Tristan Vizcaino 36 yard field goal,3,3,10.0,2022,148
2.0,1:56,Cardinals,James Conner 4 yard rush (Tristan Vizcaino kick),10,3,10.0,2022,148
,0:24,Cardinals,A.J. Green 6 yard pass from Colt McCoy (Tristan Vizcaino kick),17,3,10.0,2022,148
3.0,4:24,Rams,Darrell Henderson 4 yard rush (Matt Gay kick),17,10,10.0,2022,148
4.0,7:41,Cardinals,James Conner 9 yard rush (Tristan Vizcaino kick),24,10,10.0,2022,148
,3:44,Cardinals,Tristan Vizcaino 46 yard field goal,27,10,10.0,2022,148
,0:07,Rams,Van Jefferson 3 yard pass from John Wolford (Matt Gay kick),27,17,10.0,2022,148
