Quarter,Time,Tm,Detail,SEA,TAM,week,year,game_id
2.0,13:49,Buccaneers,Julio Jones 31 yard pass from Tom Brady (Ryan Succop kick),0,7,10.0,2022,138
,4:31,Buccaneers,Leonard Fournette 1 yard rush (Ryan Succop kick),0,14,10.0,2022,138
3.0,12:05,Seahawks,Jason Myers 55 yard field goal,3,14,10.0,2022,138
4.0,10:48,Buccaneers,Chris Godwin 4 yard pass from Tom Brady (Ryan Succop kick),3,21,10.0,2022,138
,8:27,Seahawks,Tyler Lockett 21 yard pass from Geno Smith (pass failed),9,21,10.0,2022,138
,3:58,Seahawks,Marquise Goodwin 19 yard pass from Geno Smith (Jason Myers kick),16,21,10.0,2022,138
