Quarter,Time,Down,ToGo,Location,DET,CHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Lions won the coin toss and deferred, Bears to receive the opening kickoff.",,,10.0,2022,143
1.0,15:00,,,DET 35,0.0,0.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,143
1.0,15:00,1.0,10.0,CHI 25,0.0,0.0,Justin Fields left end for 28 yards (tackle by Kerby Joseph),0.61,2.46,10.0,2022,143
1.0,14:28,1.0,10.0,DET 47,0.0,0.0,David Montgomery left end for 9 yards (tackle by Isaiah Buggs),2.46,3.13,10.0,2022,143
1.0,13:46,2.0,1.0,DET 38,0.0,0.0,Justin Fields scrambles left end for 13 yards (tackle by DeShon Elliott),3.13,3.91,10.0,2022,143
1.0,13:10,1.0,10.0,DET 25,0.0,0.0,Equanimeous St. Brown left end for 10 yards (tackle by Alex Anzalone),3.91,4.58,10.0,2022,143
1.0,12:35,1.0,10.0,DET 15,0.0,0.0,Justin Fields right guard for 6 yards (tackle by Alim McNeill),4.58,5.03,10.0,2022,143
1.0,11:58,2.0,4.0,DET 9,0.0,0.0,"David Montgomery for no gain (tackle by DeShon Elliott and Derrick Barnes). Penalty on Braxton Jones: Offensive Holding, 10 yards (accepted) (no play)",5.03,3.45,10.0,2022,143
1.0,11:30,2.0,14.0,DET 19,0.0,0.0,Justin Fields pass incomplete short right intended for Trevon Wesco (defended by Jarrad Davis),3.45,2.79,10.0,2022,143
1.0,11:24,3.0,14.0,DET 19,0.0,0.0,David Montgomery right guard for 4 yards (tackle by Aidan Hutchinson),2.79,2.44,10.0,2022,143
1.0,10:42,4.0,10.0,DET 15,0.0,3.0,Cairo Santos 33 yard field goal good,2.44,3.0,10.0,2022,143
1.0,10:39,,,CHI 35,0.0,3.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,143
1.0,10:39,1.0,10.0,DET 25,0.0,3.0,Jared Goff pass incomplete short right intended for D'Andre Swift (defended by Joe Thomas),0.61,0.06,10.0,2022,143
1.0,10:36,2.0,10.0,DET 25,0.0,3.0,Jamaal Williams left tackle for 5 yards (tackle by Justin Jones),0.06,0.04,10.0,2022,143
1.0,9:55,3.0,5.0,DET 30,0.0,3.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 5 yards (tackle by Jaquan Brisker),0.04,1.27,10.0,2022,143
1.0,9:30,1.0,10.0,DET 35,0.0,3.0,"Jared Goff pass complete to Tom Kennedy for 8 yards Replay Assistant challenged the pass completion ruling, and the original play was overturned. Jared Goff pass incomplete intended for Tom Kennedy",1.27,0.72,10.0,2022,143
1.0,9:21,2.0,10.0,DET 35,0.0,3.0,D'Andre Swift right guard for 1 yard (tackle by Jack Sanborn),0.72,0.17,10.0,2022,143
1.0,8:41,3.0,9.0,DET 36,0.0,3.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 13 yards (tackle by Jack Sanborn),0.17,2.19,10.0,2022,143
1.0,8:04,1.0,10.0,DET 49,0.0,3.0,Jared Goff pass complete short left to James Mitchell for 4 yards (tackle by Joe Thomas),2.19,2.19,10.0,2022,143
1.0,7:21,2.0,6.0,CHI 47,0.0,3.0,Justin Jackson right tackle for 9 yards (tackle by Eddie Jackson),2.19,3.05,10.0,2022,143
1.0,6:45,1.0,10.0,CHI 38,0.0,3.0,Jamaal Williams right guard for 13 yards (tackle by Eddie Jackson),3.05,3.91,10.0,2022,143
1.0,6:06,1.0,10.0,CHI 25,0.0,3.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 12 yards (tackle by Jack Sanborn),3.91,4.71,10.0,2022,143
1.0,5:22,1.0,10.0,CHI 13,0.0,3.0,Jamaal Williams right tackle for -2 yards (tackle by Justin Jones),4.71,3.76,10.0,2022,143
1.0,4:46,2.0,12.0,CHI 15,0.0,3.0,Amon-Ra St. Brown left tackle for 2 yards (tackle by Nicholas Morrow and Kingsley Jonathan),3.76,3.12,10.0,2022,143
1.0,4:08,3.0,10.0,CHI 13,0.0,3.0,Jared Goff pass complete short left to Justin Jackson for 6 yards (tackle by Jaquan Brisker),3.12,2.99,10.0,2022,143
1.0,3:24,4.0,4.0,CHI 7,3.0,3.0,Michael Badgley 25 yard field goal good,2.99,3.0,10.0,2022,143
1.0,3:21,,,DET 35,3.0,3.0,"Jack Fox kicks off 66 yards, returned by Khalil Herbert for 50 yards (tackle by Amani Oruwariye)",0.0,2.19,10.0,2022,143
1.0,3:12,1.0,10.0,CHI 49,3.0,3.0,Justin Fields pass complete short middle to Dante Pettis for 9 yards (tackle by Mike Hughes),2.19,2.86,10.0,2022,143
1.0,2:31,2.0,1.0,DET 42,3.0,3.0,David Montgomery right guard for 2 yards (tackle by Alex Anzalone and Isaiah Buggs),2.86,2.92,10.0,2022,143
1.0,1:54,1.0,10.0,DET 40,3.0,3.0,Justin Fields pass complete short left to Cole Kmet for 9 yards (tackle by Kerby Joseph),2.92,3.59,10.0,2022,143
1.0,1:11,2.0,1.0,DET 31,3.0,3.0,"David Montgomery for 4 yards (tackle by Will Harris). Penalty on Cole Kmet: Face Mask (15 Yards), 15 yards (accepted)",3.59,2.1,10.0,2022,143
1.0,0:43,2.0,12.0,DET 42,3.0,3.0,Justin Fields sacked by Julian Okwara for -2 yards,2.1,1.16,10.0,2022,143
2.0,15:00,3.0,14.0,DET 44,3.0,3.0,"Justin Fields pass incomplete. Penalty on Braxton Jones: Offensive Holding, 10 yards (declined)",1.16,0.33,10.0,2022,143
2.0,14:52,4.0,14.0,DET 44,3.0,3.0,"Trenton Gill punts 44 yards, touchback.",0.33,-0.28,10.0,2022,143
2.0,14:44,1.0,10.0,DET 20,3.0,3.0,Jared Goff pass incomplete short left intended for Justin Jackson (defended by Joe Thomas),0.28,-0.27,10.0,2022,143
2.0,14:40,2.0,10.0,DET 20,3.0,3.0,D'Andre Swift right end for -4 yards (tackle by Nicholas Morrow and Dominique Robinson),-0.27,-1.78,10.0,2022,143
