Unnamed: 0,NOR,PIT,week,year,game_id
First Downs,10,28,10.0,2022,145
Rush-Yds-TDs,15-29-0,43-217-2,10.0,2022,145
Cmp-Att-Yd-TD-INT,17-28-174-1-2,18-30-199-0-0,10.0,2022,145
Sacked-Yards,2-17,6-37,10.0,2022,145
Net Pass Yards,157,162,10.0,2022,145
Total Yards,186,379,10.0,2022,145
Fumbles-Lost,2-0,1-0,10.0,2022,145
Turnovers,2,0,10.0,2022,145
Penalties-Yards,10-74,3-40,10.0,2022,145
Third Down Conv.,3-12,9-17,10.0,2022,145
Fourth Down Conv.,0-1,1-1,10.0,2022,145
Time of Possession,21:04,38:56,10.0,2022,145
