Quarter,Time,Tm,Detail,DAL,GNB,week,year,game_id
2,9:52,Cowboys,CeeDee Lamb 3 yard pass from Dak Prescott (Brett Maher kick),7,0,10.0,2022,147
,4:54,Packers,Christian Watson 58 yard pass from Aaron Rodgers (Mason Crosby kick),7,7,10.0,2022,147
,1:42,Packers,Aaron Jones 12 yard rush (Mason Crosby kick),7,14,10.0,2022,147
,0:08,Cowboys,Dalton Schultz 5 yard pass from Dak Prescott (Brett Maher kick),14,14,10.0,2022,147
3,7:14,Cowboys,Tony Pollard 13 yard rush (Brett Maher kick),21,14,10.0,2022,147
,2:47,Cowboys,CeeDee Lamb 35 yard pass from Dak Prescott (Brett Maher kick),28,14,10.0,2022,147
4,13:23,Packers,Christian Watson 39 yard pass from Aaron Rodgers (Mason Crosby kick),28,21,10.0,2022,147
,2:29,Packers,Christian Watson 7 yard pass from Aaron Rodgers (Mason Crosby kick),28,28,10.0,2022,147
OT,3:06,Packers,Mason Crosby 28 yard field goal,28,31,10.0,2022,147
