Quarter,Time,Down,ToGo,Location,DEN,TEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Broncos won the coin toss and deferred, Titans to receive the opening kickoff.",,,10.0,2022,141
1.0,15:00,,,DEN 35,0.0,0.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,141
1.0,15:00,1.0,10.0,TEN 25,0.0,0.0,Derrick Henry left guard for 2 yards (tackle by Mike Purcell),0.61,0.33,10.0,2022,141
1.0,14:16,2.0,8.0,TEN 27,0.0,0.0,Ryan Tannehill pass incomplete short left intended for Treylon Burks,0.33,-0.36,10.0,2022,141
1.0,14:12,3.0,8.0,TEN 27,0.0,0.0,"Ryan Tannehill sacked by Jacob Martin for no gain. Penalty on Jacob Martin: Defensive Offside, 5 yards (accepted) (no play)",-0.36,0.3,10.0,2022,141
1.0,13:45,3.0,3.0,TEN 32,0.0,0.0,Ryan Tannehill pass incomplete short right intended for Geoff Swaim,0.3,-1.24,10.0,2022,141
1.0,13:40,4.0,3.0,TEN 32,0.0,0.0,Ryan Stonehouse punts 64 yards downed by Tre Avery,-1.24,0.38,10.0,2022,141
1.0,13:28,1.0,10.0,DEN 4,0.0,0.0,Russell Wilson pass incomplete deep left intended for Jerry Jeudy,-0.38,-0.78,10.0,2022,141
1.0,13:22,2.0,10.0,DEN 4,0.0,0.0,Russell Wilson pass incomplete short left,-0.78,-1.42,10.0,2022,141
1.0,13:17,3.0,10.0,DEN 4,0.0,0.0,Russell Wilson pass complete deep left to Kendall Hinton for 35 yards (tackle by Terrance Mitchell),-1.42,1.53,10.0,2022,141
1.0,12:43,1.0,10.0,DEN 39,0.0,0.0,Russell Wilson pass incomplete short middle intended for Greg Dulcich,1.53,0.99,10.0,2022,141
1.0,12:42,2.0,10.0,DEN 39,0.0,0.0,Melvin Gordon up the middle for no gain (tackle by Teair Tart),0.99,0.3,10.0,2022,141
1.0,11:58,3.0,10.0,DEN 39,0.0,0.0,Russell Wilson pass incomplete deep left,0.3,-0.78,10.0,2022,141
1.0,11:53,4.0,10.0,DEN 39,0.0,0.0,"Corliss Waitman punts 53 yards, returned by C.J. Board for 17 yards (tackle by Essang Bassey)",-0.78,-0.61,10.0,2022,141
