Unnamed: 0,LAC,SFO,week,year,game_id
First Downs,12,22,10.0,2022,149
Rush-Yds-TDs,16-51-0,41-157-2,10.0,2022,149
Cmp-Att-Yd-TD-INT,21-37-196-1-1,19-28-240-0-0,10.0,2022,149
Sacked-Yards,3-9,1-10,10.0,2022,149
Net Pass Yards,187,230,10.0,2022,149
Total Yards,238,387,10.0,2022,149
Fumbles-Lost,1-0,1-1,10.0,2022,149
Turnovers,1,1,10.0,2022,149
Penalties-Yards,1-5,5-52,10.0,2022,149
Third Down Conv.,6-16,9-17,10.0,2022,149
Fourth Down Conv.,0-1,1-1,10.0,2022,149
Time of Possession,23:01,36:59,10.0,2022,149
