Quarter,Time,Tm,Detail,ATL,CAR,week,year,game_id
1.0,6:59,Panthers,Eddy Piñeiro 46 yard field goal,0,3,10.0,2022,137
2.0,4:51,Panthers,Laviska Shenault Jr. 41 yard rush (Eddy Piñeiro kick),0,10,10.0,2022,137
,1:47,Panthers,Eddy Piñeiro 49 yard field goal,0,13,10.0,2022,137
,0:00,Falcons,Younghoe Koo 33 yard field goal,3,13,10.0,2022,137
3.0,6:23,Falcons,Drake London 7 yard pass from Marcus Mariota (Younghoe Koo kick failed),9,13,10.0,2022,137
,1:51,Panthers,D'Onta Foreman 12 yard rush (Eddy Piñeiro kick failed),9,19,10.0,2022,137
4.0,9:22,Panthers,Eddy Piñeiro 40 yard field goal,9,22,10.0,2022,137
,2:56,Falcons,KhaDarel Hodge 25 yard pass from Marcus Mariota (Younghoe Koo kick failed),15,22,10.0,2022,137
,0:10,Panthers,Eddy Piñeiro 37 yard field goal,15,25,10.0,2022,137
