Unnamed: 0,HOU,NYG,week,year,game_id
First Downs,22,19,10.0,2022,142
Rush-Yds-TDs,19-101-0,47-191-1,10.0,2022,142
Cmp-Att-Yd-TD-INT,22-37-319-1-1,13-17-197-2-0,10.0,2022,142
Sacked-Yards,4-33,3-21,10.0,2022,142
Net Pass Yards,286,176,10.0,2022,142
Total Yards,387,367,10.0,2022,142
Fumbles-Lost,2-1,0-0,10.0,2022,142
Turnovers,2,0,10.0,2022,142
Penalties-Yards,7-40,5-24,10.0,2022,142
Third Down Conv.,3-10,7-14,10.0,2022,142
Fourth Down Conv.,0-0,0-0,10.0,2022,142
Time of Possession,26:40,33:20,10.0,2022,142
