Quarter,Time,Tm,Detail,CLE,MIA,week,year,game_id
1.0,12:13,Browns,Harrison Bryant 1 yard pass from Jacoby Brissett (Cade York kick),7,0,10.0,2022,140
,6:13,Dolphins,Alec Ingold 13 yard pass from Tua Tagovailoa (Jason Sanders kick),7,7,10.0,2022,140
2.0,11:05,Dolphins,Jason Sanders 39 yard field goal,7,10,10.0,2022,140
,0:32,Dolphins,Trent Sherfield 14 yard pass from Tua Tagovailoa (Jason Sanders kick),7,17,10.0,2022,140
3.0,11:35,Dolphins,Raheem Mostert 24 yard rush (Jason Sanders kick),7,24,10.0,2022,140
,6:56,Browns,Cade York 37 yard field goal,10,24,10.0,2022,140
,0:37,Dolphins,Tyreek Hill 2 yard pass from Tua Tagovailoa (Jason Sanders kick failed),10,30,10.0,2022,140
4.0,13:09,Browns,Nick Chubb 33 yard rush (Cade York kick),17,30,10.0,2022,140
,8:15,Dolphins,Jason Sanders 33 yard field goal,17,33,10.0,2022,140
,7:07,Dolphins,Jeff Wilson 20 yard rush (Jason Sanders kick failed),17,39,10.0,2022,140
