Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Dalvin Cook,MIN,14,119,1,4.0,20,1.4,99,7.1,0,,10.0,2022,139
Kirk Cousins,MIN,6,12,0,1.0,12,2.0,0,0.0,0,,10.0,2022,139
Alexander Mattison,MIN,3,11,0,1.0,3,1.0,8,2.7,0,,10.0,2022,139
C.J. Ham,MIN,1,3,1,1.0,3,3.0,0,0.0,0,,10.0,2022,139
K.J. Osborn,MIN,1,2,0,1.0,0,0.0,2,2.0,1,1.0,10.0,2022,139
Devin Singletary,BUF,13,47,2,3.0,26,2.0,21,1.6,1,13.0,10.0,2022,139
Josh Allen,BUF,6,84,0,4.0,62,10.3,22,3.7,0,,10.0,2022,139
James Cook,BUF,5,22,0,,8,1.6,14,2.8,0,,10.0,2022,139
Duke Johnson,BUF,2,4,0,1.0,1,0.5,3,1.5,0,,10.0,2022,139
Isaiah McKenzie,BUF,1,18,0,1.0,18,18.0,0,0.0,0,,10.0,2022,139
