Unnamed: 0_level_0,Unnamed: 1_level_0,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Unnamed: 14_level_0
Player,Tm,Cmp,Att,Cmp%,Yds,TD,Int,Cmp,Att,Cmp%,Yds,TD,Int,Link
Aaron Rodgers,PIT,3,3,100.0,26,3,0,2,2,100.0,8,2,0,All Aaron Rodgers red zone passing plays
Josh Allen,BUF,6,9,66.67,41,2,0,2,2,100.0,13,1,0,All Josh Allen red zone passing plays
Justin Herbert,LAC,2,3,66.67,16,2,0,1,1,100.0,5,1,0,All Justin Herbert red zone passing plays
Brock Purdy,SFO,4,9,44.44,21,2,0,3,6,50.0,15,2,0,All Brock Purdy red zone passing plays
Kyler Murray,ARI,3,4,75.0,9,2,0,3,3,100.0,9,2,0,All Kyler Murray red zone passing plays
Jordan Love,GNB,4,6,66.67,35,2,0,0,0,,0,0,0,All Jordan Love red zone passing plays
Joe Burrow,CIN,1,4,25.0,1,1,0,1,2,50.0,1,1,0,All Joe Burrow red zone passing plays
Caleb Williams,CHI,2,2,100.0,8,1,0,1,1,100.0,1,1,0,All Caleb Williams red zone passing plays
Tua Tagovailoa,MIA,1,3,33.33,11,1,0,0,2,0.0,0,0,0,All Tua Tagovailoa red zone passing plays
Matthew Stafford,LAR,2,2,100.0,6,1,0,0,0,,0,0,0,All Matthew Stafford red zone passing plays
J.J. McCarthy,MIN,1,3,33.33,13,1,0,0,0,,0,0,0,All J.J. McCarthy red zone passing plays
Baker Mayfield,TAM,1,1,100.0,9,1,0,1,1,100.0,9,1,0,All Baker Mayfield red zone passing plays
Drake Maye,NWE,2,4,50.0,12,1,0,1,2,50.0,2,1,0,All Drake Maye red zone passing plays
Trevor Lawrence,JAX,2,3,66.67,10,1,0,2,2,100.0,10,1,0,All Trevor Lawrence red zone passing plays
Jared Goff,DET,3,7,42.86,25,1,1,0,1,0.0,0,0,0,All Jared Goff red zone passing plays
Joe Flacco,CLE,3,4,75.0,13,1,0,1,1,100.0,5,1,0,All Joe Flacco red zone passing plays
Jayden Daniels,WAS,1,3,33.33,7,1,0,1,2,50.0,7,1,0,All Jayden Daniels red zone passing plays
Patrick Mahomes,KAN,1,5,20.0,1,0,0,1,5,20.0,1,0,0,All Patrick Mahomes red zone passing plays
Bo Nix,DEN,2,2,100.0,8,0,0,0,0,,0,0,0,All Bo Nix red zone passing plays
Michael Penix,ATL,0,2,0.0,0,0,0,0,2,0.0,0,0,0,All Michael Penix red zone passing plays
Dak Prescott,DAL,0,1,0.0,0,0,0,0,0,,0,0,0,All Dak Prescott red zone passing plays
Daniel Jones,IND,1,3,33.33,4,0,0,0,2,0.0,0,0,0,All Daniel Jones red zone passing plays
Spencer Rattler,NOR,0,6,0.0,0,0,0,0,2,0.0,0,0,0,All Spencer Rattler red zone passing plays
Jalen Hurts,PHI,1,1,100.0,3,0,0,0,0,,0,0,0,All Jalen Hurts red zone passing plays
Geno Smith,LVR,1,1,100.0,7,0,0,1,1,100.0,7,0,0,All Geno Smith red zone passing plays
C.J. Stroud,HOU,0,1,0.0,0,0,0,0,0,,0,0,0,All C.J. Stroud red zone passing plays
Russell Wilson,NYG,2,9,22.22,12,0,0,1,8,12.5,-2,0,0,All Russell Wilson red zone passing plays
Bryce Young,CAR,0,1,0.0,0,0,0,0,1,0.0,0,0,0,All Bryce Young red zone passing plays
