Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone,year,week
Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct,,
1.0,Los Angeles Chargers,17.0,257.0,112.0,43.6%,29.0,15.0,51.7%,62.0,33.0,53.2%,2022,18
2.0,Pittsburgh Steelers,17.0,236.0,106.0,44.9%,15.0,11.0,73.3%,52.0,27.0,51.9%,2022,18
3.0,Dallas Cowboys,17.0,231.0,105.0,45.5%,19.0,10.0,52.6%,56.0,40.0,71.4%,2022,18
4.0,Philadelphia Eagles,17.0,222.0,102.0,45.9%,32.0,22.0,68.8%,59.0,40.0,67.8%,2022,18
5.0,Buffalo Bills,16.0,193.0,97.0,50.3%,13.0,7.0,53.8%,58.0,35.0,60.3%,2022,18
6.0,San Francisco 49ers,17.0,211.0,95.0,45.0%,17.0,7.0,41.2%,63.0,34.0,54.0%,2022,18
7.0,Cincinnati Bengals,16.0,206.0,95.0,46.1%,12.0,3.0,25.0%,57.0,37.0,64.9%,2022,18
8.0,Kansas City Chiefs,17.0,193.0,94.0,48.7%,12.0,9.0,75.0%,72.0,50.0,69.4%,2022,18
9.0,Minnesota Vikings,17.0,226.0,93.0,41.2%,19.0,9.0,47.4%,64.0,40.0,62.5%,2022,18
10.0,Tampa Bay Buccaneers,17.0,246.0,92.0,37.4%,27.0,15.0,55.6%,50.0,26.0,52.0%,2022,18
11.0,Baltimore Ravens,17.0,218.0,91.0,41.7%,20.0,8.0,40.0%,59.0,27.0,45.8%,2022,18
12.0,Chicago Bears,17.0,220.0,90.0,40.9%,25.0,8.0,32.0%,50.0,28.0,56.0%,2022,18
13.0,Jacksonville Jaguars,17.0,215.0,90.0,41.9%,27.0,14.0,51.9%,58.0,31.0,53.4%,2022,18
14.0,New Orleans Saints,17.0,219.0,88.0,40.2%,11.0,4.0,36.4%,48.0,25.0,52.1%,2022,18
15.0,Cleveland Browns,17.0,231.0,88.0,38.1%,42.0,23.0,54.8%,56.0,30.0,53.6%,2022,18
16.0,Detroit Lions,17.0,211.0,86.0,40.8%,37.0,20.0,54.1%,68.0,45.0,66.2%,2022,18
17.0,New York Jets,17.0,240.0,83.0,34.6%,28.0,11.0,39.3%,46.0,20.0,43.5%,2022,18
18.0,Los Angeles Rams,17.0,211.0,83.0,39.3%,19.0,15.0,78.9%,45.0,25.0,55.6%,2022,18
19.0,Las Vegas Raiders,17.0,208.0,83.0,39.9%,24.0,13.0,54.2%,48.0,23.0,47.9%,2022,18
20.0,Atlanta Falcons,17.0,196.0,82.0,41.8%,18.0,9.0,50.0%,54.0,30.0,55.6%,2022,18
21.0,Arizona Cardinals,17.0,233.0,82.0,35.2%,41.0,18.0,43.9%,44.0,25.0,56.8%,2022,18
22.0,Washington Commanders,17.0,230.0,81.0,35.2%,25.0,12.0,48.0%,47.0,24.0,51.1%,2022,18
23.0,Tennessee Titans,17.0,219.0,80.0,36.5%,17.0,9.0,52.9%,42.0,27.0,64.3%,2022,18
24.0,Green Bay Packers,17.0,200.0,79.0,39.5%,31.0,12.0,38.7%,54.0,28.0,51.9%,2022,18
25.0,New York Giants,17.0,212.0,78.0,36.8%,21.0,10.0,47.6%,49.0,31.0,63.3%,2022,18
26.0,Seattle Seahawks,17.0,201.0,76.0,37.8%,21.0,12.0,57.1%,55.0,26.0,47.3%,2022,18
27.0,Indianapolis Colts,17.0,228.0,75.0,32.9%,26.0,12.0,46.2%,48.0,22.0,45.8%,2022,18
28.0,New England Patriots,17.0,215.0,75.0,34.9%,13.0,5.0,38.5%,45.0,19.0,42.2%,2022,18
29.0,Miami Dolphins,17.0,196.0,71.0,36.2%,24.0,13.0,54.2%,50.0,30.0,60.0%,2022,18
30.0,Denver Broncos,17.0,230.0,67.0,29.1%,24.0,12.0,50.0%,36.0,20.0,55.6%,2022,18
31.0,Houston Texans,17.0,221.0,67.0,30.3%,26.0,13.0,50.0%,48.0,23.0,47.9%,2022,18
32.0,Carolina Panthers,17.0,202.0,64.0,31.7%,21.0,12.0,57.1%,46.0,26.0,56.5%,2022,18
,League Total,,,,,,,,,,,2022,18
