Quarter,Time,Down,ToGo,Location,CLE,HOU,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Texans won the coin toss and deferred, Browns to receive the opening kickoff.",,,16.0,2023,230
1.0,15:00,,,HOU 35,0.0,0.0,"Ka'imi Fairbairn kicks off 60 yards, returned by Pierre Strong for 36 yards (tackle by Ka'imi Fairbairn)",0.0,1.66,16.0,2023,230
1.0,14:53,1.0,10.0,CLE 41,0.0,0.0,Joe Flacco pass complete deep middle to Amari Cooper for 53 yards (tackle by Jimmie Ward),1.66,5.83,16.0,2023,230
1.0,14:07,,,,,,Timeout #1 by Cleveland Browns,,,16.0,2023,230
1.0,14:07,1.0,6.0,HOU 6,0.0,0.0,Kareem Hunt left tackle for 2 yards (tackle by Jalen Pitre and Desmond King),5.83,5.34,16.0,2023,230
1.0,13:29,2.0,4.0,HOU 4,0.0,0.0,Joe Flacco pass incomplete short middle intended for David Njoku (defended by Denzel Perryman),5.34,4.49,16.0,2023,230
1.0,13:23,3.0,4.0,HOU 4,6.0,0.0,"Jerome Ford right end for 4 yards, touchdown",4.49,7.0,16.0,2023,230
1.0,13:18,,,HOU 15,7.0,0.0,Dustin Hopkins kicks extra point good,0.0,0.0,16.0,2023,230
1.0,13:18,,,CLE 35,7.0,0.0,"Dustin Hopkins kicks off 57 yards, returned by Dameon Pierce for 19 yards (tackle by Charlie Thomas)",0.0,0.74,16.0,2023,230
1.0,13:12,1.0,10.0,HOU 27,7.0,0.0,Case Keenum pass complete short middle to Devin Singletary for 7 yards (tackle by Jeremiah Owusu-Koramoah),0.74,1.14,16.0,2023,230
1.0,12:42,2.0,3.0,HOU 34,7.0,0.0,"Devin Singletary up the middle for 5 yards (tackle by Tony Fields and Sione Takitaki). Penalty on Shelby Harris: Defensive Holding, 5 yards (accepted)",1.14,1.86,16.0,2023,230
1.0,12:11,1.0,10.0,HOU 44,7.0,0.0,"Case Keenum pass incomplete deep left intended for Nico Collins. Penalty on Martin Emerson: Defensive Holding, 5 yards (accepted) (no play)",1.86,2.19,16.0,2023,230
