Unnamed: 0,CLE,HOU,week,year,game_id
First Downs,26,20,16.0,2023,230
Rush-Yds-TDs,30-54-2,16-72-0,16.0,2023,230
Cmp-Att-Yd-TD-INT,28-44-374-3-2,26-49-211-2-2,16.0,2023,230
Sacked-Yards,1-10,3-33,16.0,2023,230
Net Pass Yards,364,178,16.0,2023,230
Total Yards,418,250,16.0,2023,230
Fumbles-Lost,0-0,1-0,16.0,2023,230
Turnovers,2,2,16.0,2023,230
Penalties-Yards,9-55,10-76,16.0,2023,230
Third Down Conv.,6-16,5-15,16.0,2023,230
Fourth Down Conv.,4-6,1-3,16.0,2023,230
Time of Possession,33:34,26:26,16.0,2023,230
