Quarter,Time,Tm,Detail,CIN,PIT,week,year,game_id
1.0,10:45,Steelers,George Pickens 86 yard pass from Mason Rudolph (Chris Boswell kick),0,7,16.0,2023,226
2.0,14:21,Steelers,Calvin Austin III 7 yard rush (Chris Boswell kick),0,14,16.0,2023,226
,7:06,Steelers,Najee Harris 3 yard rush (Chris Boswell kick),0,21,16.0,2023,226
,0:00,Steelers,Chris Boswell 50 yard field goal,0,24,16.0,2023,226
3.0,11:11,Bengals,Tee Higgins 80 yard pass from Jake Browning (Joe Mixon pass from Jake Browning),8,24,16.0,2023,226
,9:48,Steelers,George Pickens 66 yard pass from Mason Rudolph (Chris Boswell kick),8,31,16.0,2023,226
,0:00,Bengals,Evan McPherson 35 yard field goal,11,31,16.0,2023,226
4.0,6:57,Steelers,Chris Boswell 30 yard field goal,11,34,16.0,2023,226
