Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Aidan O'Connell,LVR,0,0,0,0,0,16.0,2023,238
Zamir White,LVR,1,0,0,0,0,16.0,2023,238
Ameer Abdullah,LVR,1,1,1,0,1,16.0,2023,238
Tre Tucker,LVR,1,1,-4,0,-4,16.0,2023,238
Jakobi Meyers,LVR,5,3,42,0,21,16.0,2023,238
Austin Hooper,LVR,3,2,13,0,9,16.0,2023,238
Cole Fotheringham,LVR,1,1,6,0,6,16.0,2023,238
Davante Adams,LVR,6,1,4,0,4,16.0,2023,238
Hunter Renfrow,LVR,1,0,0,0,0,16.0,2023,238
Patrick Mahomes,KAN,0,0,0,0,0,16.0,2023,238
Tommy Townsend,KAN,0,0,0,0,0,16.0,2023,238
Isiah Pacheco,KAN,4,4,0,0,5,16.0,2023,238
Clyde Edwards-Helaire,KAN,3,3,42,0,32,16.0,2023,238
Rashee Rice,KAN,12,6,57,0,15,16.0,2023,238
Richie James,KAN,3,3,54,0,45,16.0,2023,238
Travis Kelce,KAN,7,5,44,0,24,16.0,2023,238
Justin Watson,KAN,6,4,38,1,11,16.0,2023,238
Noah Gray,KAN,3,1,5,0,5,16.0,2023,238
Blake Bell,KAN,1,1,4,0,4,16.0,2023,238
Justyn Ross,KAN,1,1,2,0,2,16.0,2023,238
Marquez Valdes-Scantling,KAN,1,0,0,0,0,16.0,2023,238
