Quarter,Time,Down,ToGo,Location,GNB,CAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Packers won the coin toss and deferred, Panthers to receive the opening kickoff.",,,16.0,2023,229
1.0,15:00,,,GNB 35,0.0,0.0,"Anders Carlson kicks off 58 yards, returned by Raheem Blackshear for 18 yards (tackle by Patrick Taylor). Penalty on Jammie Robinson: Offensive Holding, 10 yards (accepted)",0.0,-0.22,16.0,2023,229
1.0,14:55,1.0,10.0,CAR 15,0.0,0.0,Bryce Young pass complete short right to Tommy Tremble for 9 yards (tackle by Eric Stokes),-0.22,0.62,16.0,2023,229
1.0,14:15,2.0,1.0,CAR 24,0.0,0.0,Bryce Young sacked by and Preston Smith for -7 yards and Quay Walker for -7 yards,0.62,-1.12,16.0,2023,229
1.0,13:33,3.0,8.0,CAR 17,0.0,0.0,Bryce Young pass incomplete short left intended for Tommy Tremble,-1.12,-2.32,16.0,2023,229
1.0,13:25,4.0,8.0,CAR 17,0.0,0.0,"Penalty on Lukas Van Ness: Roughing the Kicker, 15 yards (accepted) (no play)",-2.32,1.07,16.0,2023,229
1.0,13:09,1.0,10.0,CAR 32,0.0,0.0,Chuba Hubbard left end for no gain (tackle by Isaiah McDuffie and Lukas Van Ness),1.07,0.53,16.0,2023,229
1.0,12:27,2.0,10.0,CAR 32,0.0,0.0,Chuba Hubbard left tackle for 1 yard (tackle by Isaiah McDuffie and Kingsley Enagbare),0.53,-0.03,16.0,2023,229
1.0,11:44,3.0,9.0,CAR 33,0.0,0.0,Bryce Young pass incomplete short right intended for Adam Thielen,-0.03,-1.18,16.0,2023,229
1.0,11:38,4.0,9.0,CAR 33,0.0,0.0,"Johnny Hekker punts 56 yards, returned by Keisean Nixon for 9 yards (tackle by Jeremy Chinn)",-1.18,-0.28,16.0,2023,229
1.0,11:28,1.0,10.0,GNB 20,0.0,0.0,Aaron Jones left guard for 10 yards (tackle by Xavier Woods),0.28,0.94,16.0,2023,229
1.0,10:47,1.0,10.0,GNB 30,0.0,0.0,Aaron Jones left guard for 13 yards (tackle by Frankie Luvu),0.94,1.8,16.0,2023,229
1.0,10:12,1.0,10.0,GNB 43,0.0,0.0,Aaron Jones right guard for 3 yards (tackle by Derrick Brown),1.8,1.66,16.0,2023,229
1.0,9:32,2.0,7.0,GNB 46,0.0,0.0,Jordan Love pass complete short left to Aaron Jones for 8 yards,1.66,2.52,16.0,2023,229
1.0,8:57,1.0,10.0,CAR 46,0.0,0.0,Jordan Love pass complete short right to Tucker Kraft for 27 yards (tackle by Brian Burns),2.52,4.31,16.0,2023,229
1.0,8:14,1.0,10.0,CAR 19,0.0,0.0,Aaron Jones up the middle for 12 yards (tackle by Xavier Woods),4.31,5.6,16.0,2023,229
1.0,7:40,1.0,7.0,CAR 7,0.0,0.0,"Jordan Love pass incomplete short right intended for Romeo Doubs. Penalty on Vonn Bell: Defensive Pass Interference, 6 yards (accepted) (no play)",5.6,6.97,16.0,2023,229
1.0,7:34,1.0,1.0,CAR 1,6.0,0.0,"AJ Dillon up the middle for 1 yard, touchdown",6.97,7.0,16.0,2023,229
1.0,7:30,,,CAR 15,7.0,0.0,Anders Carlson kicks extra point good,0.0,0.0,16.0,2023,229
1.0,7:30,,,GNB 35,7.0,0.0,"Anders Carlson kicks off 64 yards, returned by Raheem Blackshear for 30 yards (tackle by Jonathan Owens and Corey Ballentine)",0.0,1.0,16.0,2023,229
1.0,7:23,1.0,10.0,CAR 31,7.0,0.0,Miles Sanders right tackle for no gain (tackle by Isaiah McDuffie and Devonte Wyatt),1.0,0.46,16.0,2023,229
1.0,6:45,2.0,10.0,CAR 31,7.0,0.0,"Penalty on Devonte Wyatt: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.46,1.14,16.0,2023,229
1.0,6:29,2.0,5.0,CAR 36,7.0,0.0,Bryce Young pass complete deep left to Tommy Tremble for 30 yards (tackle by Jaire Alexander),1.14,3.31,16.0,2023,229
1.0,5:44,1.0,10.0,GNB 34,7.0,0.0,Bryce Young pass incomplete short right,3.31,2.77,16.0,2023,229
1.0,5:37,2.0,10.0,GNB 34,7.0,0.0,Bryce Young pass incomplete short right intended for Miles Sanders,2.77,2.08,16.0,2023,229
1.0,5:32,3.0,10.0,GNB 34,7.0,0.0,Bryce Young pass incomplete short left intended for Stephen Sullivan,2.08,1.06,16.0,2023,229
1.0,5:29,4.0,10.0,GNB 34,7.0,3.0,"Eddy Pineiro 52 yard field goal good. Penalty on Devonte Wyatt: Defensive Offside, 5 yards (declined)",1.06,3.0,16.0,2023,229
1.0,5:24,,,CAR 35,7.0,3.0,"Eddy Pineiro kicks off 69 yards, returned by Keisean Nixon for 25 yards (tackle by Tae Davis)",0.0,0.34,16.0,2023,229
1.0,5:19,1.0,10.0,GNB 21,7.0,3.0,Aaron Jones right tackle for 39 yards (tackle by Troy Hill and Xavier Woods),0.34,2.92,16.0,2023,229
1.0,4:35,1.0,10.0,CAR 40,7.0,3.0,Jordan Love pass complete deep middle to Bo Melton for 17 yards (tackle by Brian Burns and Kamu Grugier-Hill),2.92,4.04,16.0,2023,229
1.0,3:54,1.0,10.0,CAR 23,7.0,3.0,Bo Melton right end for 7 yards (tackle by Vonn Bell),4.04,4.56,16.0,2023,229
1.0,3:13,2.0,3.0,CAR 16,7.0,3.0,Aaron Jones left guard for 3 yards (tackle by Marquis Haynes),4.56,4.71,16.0,2023,229
1.0,2:39,1.0,10.0,CAR 13,7.0,3.0,Aaron Jones up the middle for 1 yard (tackle by DJ Johnson and Derrick Brown),4.71,4.22,16.0,2023,229
1.0,1:59,2.0,9.0,CAR 12,7.0,3.0,Patrick Taylor right tackle for 2 yards (tackle by Nick Thurman),4.22,3.65,16.0,2023,229
1.0,1:16,3.0,7.0,CAR 10,7.0,3.0,Jordan Love pass complete short middle to Tucker Kraft for 8 yards (tackle by Vonn Bell),3.65,6.74,16.0,2023,229
1.0,0:37,1.0,2.0,CAR 2,7.0,3.0,Aaron Jones up the middle for 1 yard (tackle by Shy Tuttle),6.74,5.91,16.0,2023,229
1.0,0:04,2.0,1.0,CAR 1,7.0,3.0,Aaron Jones up the middle for no gain (tackle by Derrick Brown and Shy Tuttle),5.91,5.17,16.0,2023,229
2.0,15:00,3.0,1.0,CAR 1,13.0,3.0,"Jordan Love up the middle for 1 yard, touchdown",5.17,7.0,16.0,2023,229
2.0,14:57,,,CAR 15,13.0,3.0,Anders Carlson kicks extra point no good,0.0,-1.0,16.0,2023,229
