Quarter,Time,Down,ToGo,Location,NOR,LAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Rams won the coin toss and deferred, Saints to receive the opening kickoff.",,,16.0,2023,225
1.0,15:00,,,LAR 35,0.0,0.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,225
1.0,15:00,1.0,10.0,NOR 25,0.0,0.0,Alvin Kamara left end for 2 yards (tackle by Ernest Jones and Byron Young),0.61,0.33,16.0,2023,225
1.0,14:28,2.0,8.0,NOR 27,0.0,0.0,Derek Carr pass complete short left to Chris Olave for 11 yards (tackle by Ahkello Witherspoon),0.33,1.47,16.0,2023,225
1.0,13:50,1.0,10.0,NOR 38,0.0,0.0,Derek Carr pass complete short right to Chris Olave for 9 yards (tackle by Michael Hoecht),1.47,2.14,16.0,2023,225
1.0,13:12,2.0,1.0,NOR 47,0.0,0.0,Taysom Hill right guard for 3 yards (tackle by Aaron Donald),2.14,2.26,16.0,2023,225
1.0,12:36,1.0,10.0,NOR 50,0.0,0.0,Derek Carr pass complete short middle to Chris Olave for 16 yards (tackle by Ahkello Witherspoon),2.26,3.31,16.0,2023,225
1.0,11:57,1.0,10.0,LAR 34,0.0,0.0,Alvin Kamara right end for 3 yards (tackle by Ahkello Witherspoon and Michael Hoecht),3.31,3.18,16.0,2023,225
1.0,11:20,2.0,7.0,LAR 31,0.0,0.0,Derek Carr pass incomplete short middle intended for Juwan Johnson (defended by Ernest Jones),3.18,2.48,16.0,2023,225
1.0,11:16,3.0,7.0,LAR 31,0.0,0.0,Derek Carr sacked by Ernest Jones for -6 yards,2.48,0.79,16.0,2023,225
1.0,10:31,4.0,13.0,LAR 37,0.0,0.0,"Lou Hedley punts 32 yards, fair catch by Austin Trammell at LA-5",0.79,0.38,16.0,2023,225
1.0,10:24,1.0,10.0,LAR 5,0.0,0.0,Kyren Williams left guard for 7 yards (tackle by Isaac Yiadom),-0.38,-0.27,16.0,2023,225
1.0,9:44,2.0,3.0,LAR 12,0.0,0.0,Matthew Stafford pass complete short left to Tyler Higbee for 22 yards (tackle by Jordan Howden),-0.27,1.2,16.0,2023,225
1.0,9:05,1.0,10.0,LAR 34,0.0,0.0,Kyren Williams right end for 4 yards (tackle by Khalen Saunders),1.2,1.2,16.0,2023,225
1.0,8:21,2.0,6.0,LAR 38,0.0,0.0,Matthew Stafford pass incomplete short middle intended for Cooper Kupp,1.2,0.5,16.0,2023,225
1.0,8:16,3.0,6.0,LAR 38,0.0,0.0,Matthew Stafford pass complete short middle to Puka Nacua for 17 yards (tackle by Johnathan Abram),0.5,2.59,16.0,2023,225
1.0,7:36,1.0,10.0,NOR 45,0.0,0.0,Kyren Williams up the middle for 5 yards (tackle by Bryan Bresee and PJ Mustipher),2.59,2.72,16.0,2023,225
1.0,6:57,2.0,5.0,NOR 40,0.0,0.0,Matthew Stafford pass complete short left to Demarcus Robinson for 15 yards (tackle by Paulson Adebo),2.72,3.91,16.0,2023,225
1.0,6:18,1.0,10.0,NOR 25,0.0,0.0,Matthew Stafford pass complete short right to Cooper Kupp for 12 yards (tackle by Alontae Taylor),3.91,4.71,16.0,2023,225
1.0,5:36,1.0,10.0,NOR 13,0.0,0.0,"Penalty on Davis Allen: False Start, 5 yards (accepted) (no play)",4.71,4.29,16.0,2023,225
1.0,5:18,1.0,15.0,NOR 18,0.0,0.0,Cooper Kupp right end for -3 yards (tackle by Pete Werner),4.29,3.08,16.0,2023,225
1.0,4:38,2.0,18.0,NOR 21,0.0,0.0,Kyren Williams right tackle for 10 yards (tackle by Carl Granderson and Demario Davis),3.08,3.45,16.0,2023,225
1.0,3:57,3.0,8.0,NOR 11,0.0,0.0,"Matthew Stafford pass incomplete intended for Kyren Williams. Penalty on Pete Werner: Defensive Pass Interference, 6 yards (accepted) (no play)",3.45,6.06,16.0,2023,225
1.0,3:51,1.0,5.0,NOR 5,0.0,0.0,Kyren Williams up the middle for 2 yards (tackle by Tyrann Mathieu and Demario Davis),6.06,5.53,16.0,2023,225
1.0,3:14,2.0,3.0,NOR 3,0.0,0.0,Kyren Williams left guard for 1 yard (tackle by Carl Granderson and Khalen Saunders),5.53,4.95,16.0,2023,225
1.0,2:36,3.0,2.0,NOR 2,0.0,0.0,Matthew Stafford pass incomplete short right intended for Cooper Kupp,4.95,3.25,16.0,2023,225
1.0,2:32,4.0,2.0,NOR 2,0.0,6.0,"Matthew Stafford pass complete short right to Puka Nacua for 2 yards, touchdown",3.25,7.0,16.0,2023,225
1.0,2:28,,,NOR 15,0.0,7.0,Lucas Havrisik kicks extra point good,0.0,0.0,16.0,2023,225
1.0,2:28,,,LAR 35,0.0,7.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,225
1.0,2:28,1.0,10.0,NOR 25,0.0,7.0,Alvin Kamara right tackle for 5 yards (tackle by Larrell Murchison and Bobby Brown),0.61,0.74,16.0,2023,225
1.0,1:55,2.0,5.0,NOR 30,0.0,7.0,Derek Carr pass complete deep right to Rashid Shaheed for 16 yards (tackle by Ahkello Witherspoon),0.74,1.99,16.0,2023,225
1.0,1:15,1.0,10.0,NOR 46,0.0,7.0,Jamaal Williams up the middle for 4 yards (tackle by Bobby Brown and John Johnson),1.99,1.99,16.0,2023,225
1.0,0:40,2.0,6.0,LAR 50,0.0,7.0,Derek Carr pass incomplete short right intended for Foster Moreau,1.99,1.29,16.0,2023,225
1.0,0:36,3.0,6.0,LAR 50,0.0,7.0,Derek Carr pass complete short left to Chris Olave for 6 yards (tackle by Quentin Lake),1.29,2.65,16.0,2023,225
2.0,15:00,1.0,10.0,LAR 44,0.0,7.0,Alvin Kamara up the middle for 2 yards (tackle by Larrell Murchison),2.65,2.38,16.0,2023,225
2.0,14:22,2.0,8.0,LAR 42,0.0,7.0,Derek Carr pass complete short left to Alvin Kamara for 3 yards (tackle by Christian Rozeboom),2.38,2.08,16.0,2023,225
2.0,13:42,3.0,5.0,LAR 39,0.0,7.0,Derek Carr pass incomplete short middle intended for Chris Olave (defended by Quentin Lake),2.08,0.66,16.0,2023,225
2.0,13:38,4.0,5.0,LAR 39,0.0,7.0,Derek Carr sacked by Kobie Turner for -9 yards,0.66,-2.13,16.0,2023,225
2.0,13:32,1.0,10.0,LAR 48,0.0,7.0,Matthew Stafford pass complete deep middle to Puka Nacua for 28 yards (tackle by Jordan Howden),2.13,3.97,16.0,2023,225
2.0,12:51,1.0,10.0,NOR 24,0.0,7.0,Kyren Williams right tackle for 4 yards (tackle by Tyrann Mathieu and Kyle Phillips),3.97,3.97,16.0,2023,225
2.0,12:09,2.0,6.0,NOR 20,0.0,7.0,Matthew Stafford pass complete short right to Cooper Kupp for 11 yards (tackle by Isaac Yiadom),3.97,5.14,16.0,2023,225
2.0,11:35,1.0,9.0,NOR 9,0.0,7.0,Kyren Williams left guard for 3 yards (tackle by Isaac Yiadom and Nathan Shepherd),5.14,4.95,16.0,2023,225
2.0,10:58,2.0,6.0,NOR 6,0.0,7.0,Kyren Williams right end for 4 yards (tackle by Paulson Adebo and Pete Werner),4.95,4.95,16.0,2023,225
2.0,10:31,3.0,2.0,NOR 2,0.0,7.0,Matthew Stafford pass incomplete short left intended for Cooper Kupp,4.95,3.25,16.0,2023,225
2.0,10:26,4.0,2.0,NOR 2,0.0,10.0,Lucas Havrisik 20 yard field goal good,3.25,3.0,16.0,2023,225
2.0,10:23,,,LAR 35,0.0,10.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,225
2.0,10:23,1.0,10.0,NOR 25,0.0,10.0,Derek Carr pass complete short left to Chris Olave for 14 yards (tackle by John Johnson),0.61,1.53,16.0,2023,225
2.0,9:42,1.0,10.0,NOR 39,0.0,10.0,Derek Carr pass incomplete short right intended for Rashid Shaheed (defended by Cobie Durant),1.53,0.99,16.0,2023,225
2.0,9:37,2.0,10.0,NOR 39,0.0,10.0,"Jamaal Williams for no gain (tackle by Ernest Jones and Michael Hoecht). Penalty on Landon Young: Offensive Holding, 10 yards (accepted) (no play)",0.99,-0.36,16.0,2023,225
2.0,9:10,2.0,20.0,NOR 29,0.0,10.0,Derek Carr pass incomplete short right intended for Rashid Shaheed,-0.36,-1.02,16.0,2023,225
2.0,9:06,3.0,20.0,NOR 29,0.0,10.0,Alvin Kamara up the middle for no gain (tackle by Ernest Jones and Kobie Turner),-1.02,-1.44,16.0,2023,225
2.0,8:31,4.0,20.0,NOR 29,0.0,10.0,Lou Hedley punts 39 yards downed by D'Marco Jackson,-1.44,-1.07,16.0,2023,225
2.0,8:21,1.0,10.0,LAR 32,0.0,10.0,Matthew Stafford pass complete short right to Cooper Kupp for 5 yards (tackle by Paulson Adebo),1.07,1.2,16.0,2023,225
2.0,7:41,2.0,5.0,LAR 37,0.0,10.0,Ronnie Rivers right guard for 1 yard (tackle by Demario Davis),1.2,0.63,16.0,2023,225
2.0,7:00,3.0,4.0,LAR 38,0.0,10.0,Matthew Stafford pass complete short left to Demarcus Robinson for 10 yards (tackle by Paulson Adebo),0.63,2.13,16.0,2023,225
2.0,6:13,1.0,10.0,LAR 48,0.0,10.0,Matthew Stafford pass incomplete short middle,2.13,1.58,16.0,2023,225
2.0,6:09,2.0,10.0,LAR 48,0.0,10.0,Matthew Stafford pass complete deep right to Demarcus Robinson for 16 yards (tackle by Paulson Adebo),1.58,3.18,16.0,2023,225
2.0,5:23,1.0,10.0,NOR 36,0.0,10.0,Ronnie Rivers right tackle for 3 yards (tackle by Cameron Jordan and Paulson Adebo),3.18,3.04,16.0,2023,225
2.0,4:40,2.0,7.0,NOR 33,0.0,10.0,Matthew Stafford pass complete short left to Puka Nacua for 5 yards (tackle by Isaac Yiadom),3.04,3.01,16.0,2023,225
