Quarter,Time,Tm,Detail,ARI,CHI,week,year,game_id
1.0,6:16,Bears,Justin Fields 3 yard rush (Cairo Santos kick),0,7,16.0,2023,235
2.0,12:54,Bears,Khalil Herbert 11 yard rush (Cairo Santos kick),0,14,16.0,2023,235
,7:12,Bears,Marcedes Lewis 1 yard pass from Justin Fields (Cairo Santos kick),0,21,16.0,2023,235
,2:27,Cardinals,James Conner 16 yard pass from Kyler Murray (Matt Prater kick),7,21,16.0,2023,235
3.0,12:12,Cardinals,Matt Prater 55 yard field goal,10,21,16.0,2023,235
,1:04,Bears,Cairo Santos 49 yard field goal,10,24,16.0,2023,235
4.0,6:37,Cardinals,Greg Dortch 38 yard pass from Kyler Murray (pass failed),16,24,16.0,2023,235
,1:02,Bears,Cairo Santos 29 yard field goal,16,27,16.0,2023,235
