Unnamed: 0,DAL,MIA,week,year,game_id
First Downs,19,22,16.0,2023,236
Rush-Yds-TDs,25-97-0,26-91-0,16.0,2023,236
Cmp-Att-Yd-TD-INT,20-32-253-2-0,24-37-293-1-0,16.0,2023,236
Sacked-Yards,4-11,1-9,16.0,2023,236
Net Pass Yards,242,284,16.0,2023,236
Total Yards,339,375,16.0,2023,236
Fumbles-Lost,1-1,1-0,16.0,2023,236
Turnovers,1,0,16.0,2023,236
Penalties-Yards,6-38,5-33,16.0,2023,236
Third Down Conv.,4-12,6-13,16.0,2023,236
Fourth Down Conv.,2-2,0-1,16.0,2023,236
Time of Possession,31:02,28:58,16.0,2023,236
