Player,Tm,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Passing Sk,Passing Yds.1,Passing Lng,Passing Rate,week,year,game_id
Josh Allen,BUF,15,21,237,1,1,1,7,57,104.7,16.0,2023,227
James Cook,BUF,0,0,0,0,0,0,0,0,,16.0,2023,227
Leonard Fournette,BUF,0,0,0,0,0,0,0,0,,16.0,2023,227
Gabriel Davis,BUF,0,0,0,0,0,0,0,0,,16.0,2023,227
Khalil Shakir,BUF,0,0,0,0,0,0,0,0,,16.0,2023,227
Stefon Diggs,BUF,0,0,0,0,0,0,0,0,,16.0,2023,227
Dawson Knox,BUF,0,0,0,0,0,0,0,0,,16.0,2023,227
Dalton Kincaid,BUF,0,0,0,0,0,0,0,0,,16.0,2023,227
Easton Stick,LAC,23,33,215,0,0,5,40,23,87.3,16.0,2023,227
Austin Ekeler,LAC,0,0,0,0,0,0,0,0,,16.0,2023,227
Derius Davis,LAC,0,0,0,0,0,0,0,0,,16.0,2023,227
Quentin Johnston,LAC,0,0,0,0,0,0,0,0,,16.0,2023,227
Isaiah Spiller,LAC,0,0,0,0,0,0,0,0,,16.0,2023,227
Josh Palmer,LAC,0,0,0,0,0,0,0,0,,16.0,2023,227
Gerald Everett,LAC,0,0,0,0,0,0,0,0,,16.0,2023,227
Alex Erickson,LAC,0,0,0,0,0,0,0,0,,16.0,2023,227
Stone Smartt,LAC,0,0,0,0,0,0,0,0,,16.0,2023,227
Jalen Guyton,LAC,0,0,0,0,0,0,0,0,,16.0,2023,227
Joshua Kelley,LAC,0,0,0,0,0,0,0,0,,16.0,2023,227
