Unnamed: 0,JAX,TAM,week,year,game_id
First Downs,23,22,16.0,2023,234
Rush-Yds-TDs,13-37-0,36-70-1,16.0,2023,234
Cmp-Att-Yd-TD-INT,28-44-305-2-2,26-35-283-2-0,16.0,2023,234
Sacked-Yards,4-37,2-18,16.0,2023,234
Net Pass Yards,268,265,16.0,2023,234
Total Yards,305,335,16.0,2023,234
Fumbles-Lost,3-2,0-0,16.0,2023,234
Turnovers,4,0,16.0,2023,234
Penalties-Yards,2-20,6-44,16.0,2023,234
Third Down Conv.,3-9,10-19,16.0,2023,234
Fourth Down Conv.,1-3,1-2,16.0,2023,234
Time of Possession,22:53,37:07,16.0,2023,234
