Tm,Total,Offense Tot,Offense Pass,Offense Rush,Offense TOvr,Defense Tot,Defense Pass,Defense Rush,Defense TOvr,Special Teams Tot,Special Teams KO,Special Teams KR,Special Teams P,Special Teams PR,Special Teams FG/XP,week,year,game_id
Bills,2.0,7.67,13.28,-5.61,-5.23,4.02,-0.02,3.51,-0.93,-9.12,-2.39,3.52,3.1,-8.03,-5.32,16.0,2023,227
Chargers,-2.0,-4.02,0.02,-3.51,0.93,-7.67,-13.28,5.61,5.23,9.12,-3.52,2.39,8.03,-3.1,5.32,16.0,2023,227
