Unnamed: 0,WAS,NYJ,week,year,game_id
First Downs,18,26,16.0,2023,232
Rush-Yds-TDs,22-102-3,36-164-2,16.0,2023,232
Cmp-Att-Yd-TD-INT,16-35-156-1-2,27-49-217-1-1,16.0,2023,232
Sacked-Yards,1-13,0-0,16.0,2023,232
Net Pass Yards,143,217,16.0,2023,232
Total Yards,245,381,16.0,2023,232
Fumbles-Lost,1-1,1-1,16.0,2023,232
Turnovers,3,2,16.0,2023,232
Penalties-Yards,8-68,14-150,16.0,2023,232
Third Down Conv.,3-12,4-16,16.0,2023,232
Fourth Down Conv.,1-1,1-2,16.0,2023,232
Time of Possession,23:44,36:16,16.0,2023,232
