Quarter,Time,Down,ToGo,Location,SEA,TEN,Detail,EPB,EPA,week,year,game_id
1.0,5:27,2.0,10.0,SEA 48,0.0,0.0,Ryan Tannehill pass incomplete short left intended for Tyjae Spears,1.85,1.16,16.0,2023,233
1.0,5:24,3.0,10.0,SEA 48,0.0,0.0,Ryan Tannehill pass complete short right to Mason Kinsey for 6 yards (tackle by Julian Love),1.16,0.46,16.0,2023,233
1.0,4:43,4.0,5.0,SEA 42,0.0,0.0,Ty Zentner punts 36 yards downed by Anthony Kendall,0.46,0.38,16.0,2023,233
1.0,4:35,1.0,10.0,SEA 6,0.0,0.0,Kenneth Walker left end for -2 yards (tackle by Azeez Al-Shaair),-0.38,-0.93,16.0,2023,233
1.0,4:04,2.0,12.0,SEA 4,0.0,0.0,Kenneth Walker up the middle for 1 yard (tackle by Azeez Al-Shaair and Otis Reese),-0.93,-1.54,16.0,2023,233
1.0,3:22,3.0,11.0,SEA 5,0.0,0.0,Geno Smith sacked by and Denico Autry for no gain and Terrell Edmunds for no gain,-1.54,-2.49,16.0,2023,233
1.0,2:37,4.0,11.0,SEA 5,0.0,0.0,"Michael Dickson punts 63 yards, returned by Mason Kinsey for 11 yards (tackle by Brady Russell)",-2.49,-1.8,16.0,2023,233
1.0,2:24,1.0,10.0,TEN 43,0.0,0.0,"Ryan Tannehill pass incomplete intended for Treylon Burks. Penalty on Quandre Diggs: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",1.8,2.79,16.0,2023,233
1.0,2:19,1.0,10.0,SEA 42,0.0,0.0,Ryan Tannehill pass incomplete short right,2.79,2.24,16.0,2023,233
1.0,2:11,2.0,10.0,SEA 42,0.0,0.0,Derrick Henry right tackle for 8 yards (tackle by Devin Bush),2.24,2.61,16.0,2023,233
1.0,1:26,3.0,2.0,SEA 34,0.0,0.0,Tyjae Spears right guard for 7 yards (tackle by Artie Burns),2.61,3.78,16.0,2023,233
1.0,0:45,1.0,10.0,SEA 27,0.0,0.0,Tyjae Spears right end for 2 yards (tackle by Tre Brown and Leonard Williams),3.78,3.5,16.0,2023,233
2.0,15:00,2.0,8.0,SEA 25,0.0,0.0,Ryan Tannehill pass complete short left to DeAndre Hopkins for 13 yards (tackle by Riq Woolen),3.5,4.78,16.0,2023,233
2.0,14:18,1.0,10.0,SEA 12,0.0,6.0,"Derrick Henry pass complete short right to Chigoziem Okonkwo for 12 yards, touchdown",4.78,7.0,16.0,2023,233
2.0,14:14,,,SEA 15,0.0,7.0,Nick Folk kicks extra point good,0.0,0.0,16.0,2023,233
2.0,14:14,,,TEN 35,0.0,7.0,"Nick Folk kicks off 59 yards, returned by DeeJay Dallas for 24 yards (tackle by Jonathan Ward)",0.0,0.94,16.0,2023,233
2.0,14:10,1.0,10.0,SEA 30,0.0,7.0,Kenneth Walker right end for 24 yards (tackle by Mike Brown),0.94,2.52,16.0,2023,233
2.0,13:33,1.0,10.0,TEN 46,0.0,7.0,Kenneth Walker right guard for 4 yards (tackle by Garret Wallow),2.52,2.52,16.0,2023,233
2.0,13:03,2.0,6.0,TEN 42,0.0,7.0,Geno Smith pass complete short left to D.K. Metcalf for 26 yards (tackle by Roger McCreary and Mike Brown),2.52,4.51,16.0,2023,233
2.0,12:14,,,,,,Timeout #2 by Seattle Seahawks,,,16.0,2023,233
2.0,12:14,1.0,10.0,TEN 16,0.0,7.0,Kenneth Walker up the middle for 1 yard (tackle by Azeez Al-Shaair and Denico Autry),4.51,4.05,16.0,2023,233
2.0,11:33,2.0,9.0,TEN 15,0.0,7.0,Geno Smith pass complete short right to Colby Parkinson for 5 yards,4.05,4.17,16.0,2023,233
2.0,10:56,3.0,4.0,TEN 10,0.0,7.0,Geno Smith pass incomplete short left intended for Jaxon Smith-Njigba,4.17,2.84,16.0,2023,233
2.0,10:52,4.0,4.0,TEN 10,3.0,7.0,Jason Myers 28 yard field goal good,2.84,3.0,16.0,2023,233
2.0,10:48,,,SEA 35,3.0,7.0,"Jason Myers kicks off 59 yards,",0.0,0.61,16.0,2023,233
2.0,10:48,1.0,10.0,TEN 25,3.0,7.0,Ryan Tannehill pass complete short middle to Chigoziem Okonkwo for 13 yards (tackle by Artie Burns),0.61,1.47,16.0,2023,233
2.0,10:09,1.0,10.0,TEN 38,3.0,7.0,Derrick Henry right guard for 7 yards (tackle by Julian Love),1.47,1.87,16.0,2023,233
2.0,9:23,2.0,3.0,TEN 45,3.0,7.0,Derrick Henry left end for 5 yards (tackle by Bobby Wagner),1.87,2.26,16.0,2023,233
2.0,8:37,1.0,10.0,TEN 50,3.0,7.0,Ryan Tannehill pass incomplete short right intended for DeAndre Hopkins,2.26,1.71,16.0,2023,233
2.0,8:31,2.0,10.0,TEN 50,3.0,7.0,Derrick Henry up the middle for 11 yards (tackle by Bobby Wagner and Quandre Diggs),1.71,2.98,16.0,2023,233
2.0,7:48,1.0,10.0,SEA 39,3.0,7.0,Tyjae Spears left guard for 1 yard (tackle by Leonard Williams),2.98,2.58,16.0,2023,233
2.0,7:06,2.0,9.0,SEA 38,3.0,7.0,Ryan Tannehill pass complete short middle to Tyjae Spears for 3 yards (tackle by Devin Bush),2.58,2.28,16.0,2023,233
2.0,6:20,,,,,,Timeout #1 by Tennessee Titans,,,16.0,2023,233
2.0,6:20,3.0,6.0,SEA 35,3.0,7.0,"Penalty on TEN: Delay of Game, 5 yards (accepted) (no play)",2.28,1.62,16.0,2023,233
2.0,6:20,3.0,11.0,SEA 40,3.0,7.0,Ryan Tannehill scrambles left end for 23 yards (tackle by Michael Jackson),1.62,4.44,16.0,2023,233
2.0,5:30,1.0,10.0,SEA 17,3.0,7.0,Treylon Burks right end for -3 yards (tackle by Artie Burns),4.44,3.49,16.0,2023,233
2.0,4:48,2.0,13.0,SEA 20,3.0,7.0,Ryan Tannehill sacked by Mario Edwards for -6 yards,3.49,2.02,16.0,2023,233
2.0,4:03,3.0,19.0,SEA 26,3.0,7.0,Tyjae Spears right guard for 11 yards (tackle by Michael Jackson and Coby Bryant),2.02,2.44,16.0,2023,233
2.0,3:22,4.0,8.0,SEA 15,3.0,10.0,Nick Folk 33 yard field goal good,2.44,3.0,16.0,2023,233
2.0,3:18,,,TEN 35,3.0,10.0,"Ty Zentner kicks off 62 yards, returned by DeeJay Dallas for 20 yards (tackle by Caleb Murphy)",0.0,0.48,16.0,2023,233
2.0,3:13,1.0,10.0,SEA 23,3.0,10.0,Geno Smith pass complete short right to Tyler Lockett for 2 yards (tackle by Roger McCreary),0.48,0.2,16.0,2023,233
2.0,2:50,2.0,8.0,SEA 25,3.0,10.0,Kenneth Walker up the middle for -2 yards (tackle by Harold Landry),0.2,-0.76,16.0,2023,233
2.0,2:10,3.0,10.0,SEA 23,3.0,10.0,Geno Smith pass complete short right to Tyler Lockett for 9 yards (tackle by Tre Avery),-0.76,0.0,16.0,2023,233
2.0,2:10,,,SEA 32,3.0,10.0,"Penalty on Mike Brown: Roughing the Passer, 15 yards (accepted) (no play)",0.0,2.06,16.0,2023,233
2.0,2:00,1.0,10.0,SEA 47,3.0,10.0,Geno Smith pass complete short left to Jaxon Smith-Njigba for 6 yards (tackle by Arden Key),2.06,2.33,16.0,2023,233
2.0,1:37,2.0,4.0,TEN 47,3.0,10.0,Geno Smith pass incomplete deep right intended for Tyler Lockett,2.33,1.62,16.0,2023,233
2.0,1:30,3.0,4.0,TEN 47,3.0,10.0,Geno Smith pass complete short middle to Jake Bobo for 8 yards (tackle by Roger McCreary and Azeez Al-Shaair),1.62,2.98,16.0,2023,233
2.0,1:09,1.0,10.0,TEN 39,3.0,10.0,Geno Smith pass incomplete short left intended for Tyler Lockett,2.98,2.44,16.0,2023,233
2.0,1:05,2.0,10.0,TEN 39,3.0,10.0,Geno Smith pass incomplete short right intended for Zach Charbonnet,2.44,1.75,16.0,2023,233
2.0,1:00,3.0,10.0,TEN 39,3.0,10.0,Geno Smith pass complete short left to Zach Charbonnet for -4 yards (tackle by Azeez Al-Shaair),1.75,0.4,16.0,2023,233
