Unnamed: 0,SEA,TEN,week,year,game_id
First Downs,21,23,16.0,2023,233
Rush-Yds-TDs,20-58-0,31-162-1,16.0,2023,233
Cmp-Att-Yd-TD-INT,25-36-227-2-0,19-27-164-1-0,16.0,2023,233
Sacked-Yards,3-12,6-39,16.0,2023,233
Net Pass Yards,215,125,16.0,2023,233
Total Yards,273,287,16.0,2023,233
Fumbles-Lost,1-0,1-0,16.0,2023,233
Turnovers,0,0,16.0,2023,233
Penalties-Yards,6-47,10-97,16.0,2023,233
Third Down Conv.,7-13,6-12,16.0,2023,233
Fourth Down Conv.,0-0,1-1,16.0,2023,233
Time of Possession,26:09,33:51,16.0,2023,233
