Quarter,Time,Down,ToGo,Location,NYG,PHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Eagles won the coin toss and deferred, Giants to receive the opening kickoff.",,,16.0,2023,239
1.0,15:00,,,PHI 35,0.0,0.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,239
1.0,15:00,1.0,10.0,NYG 25,0.0,0.0,Saquon Barkley right guard for 2 yards (tackle by Fletcher Cox),0.61,0.33,16.0,2023,239
1.0,14:23,2.0,8.0,NYG 27,0.0,0.0,Saquon Barkley right guard for -1 yards (tackle by Shaquille Leonard),0.33,-0.49,16.0,2023,239
1.0,13:42,3.0,9.0,NYG 26,0.0,0.0,Tommy DeVito pass incomplete short left,-0.49,-1.63,16.0,2023,239
1.0,13:35,4.0,9.0,NYG 26,0.0,0.0,"Jamie Gillan punts 41 yards, returned by Britain Covey for 54 yards (tackle by Cam Brown)",-1.63,-4.71,16.0,2023,239
1.0,13:14,1.0,10.0,NYG 13,0.0,0.0,D'Andre Swift left end for 12 yards (tackle by Deonte Banks),4.71,6.97,16.0,2023,239
1.0,12:28,1.0,1.0,NYG 1,0.0,6.0,"Jalen Hurts up the middle for 1 yard, touchdown. Penalty on Timmy Horne: Defensive Offside (declined)",6.97,7.0,16.0,2023,239
1.0,12:27,,,NYG 15,0.0,7.0,Jake Elliott kicks extra point good,0.0,0.0,16.0,2023,239
1.0,12:27,,,PHI 35,0.0,7.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,239
1.0,12:27,1.0,10.0,NYG 25,0.0,7.0,Tommy DeVito pass complete short left to Wan'Dale Robinson for 7 yards (tackle by Reed Blankenship),0.61,1.01,16.0,2023,239
1.0,11:50,2.0,3.0,NYG 32,0.0,7.0,Saquon Barkley left tackle for 4 yards (tackle by Milton Williams and Nolan Smith),1.01,1.33,16.0,2023,239
1.0,11:15,1.0,10.0,NYG 36,0.0,7.0,Tommy DeVito pass complete short left to Daniel Bellinger for 14 yards (tackle by Kelee Ringo),1.33,2.26,16.0,2023,239
1.0,10:32,,,,,,Timeout #1 by Philadelphia Eagles,,,16.0,2023,239
1.0,10:32,1.0,10.0,NYG 50,0.0,7.0,Tommy DeVito pass complete short right to Saquon Barkley for 4 yards (tackle by Haason Reddick),2.26,2.25,16.0,2023,239
1.0,10:17,2.0,6.0,PHI 46,0.0,7.0,Saquon Barkley up the middle for no gain (tackle by Shaquille Leonard),2.25,1.55,16.0,2023,239
1.0,9:39,3.0,6.0,PHI 46,0.0,7.0,Tommy DeVito pass complete short left to Darius Slayton for 9 yards (tackle by Kelee Ringo),1.55,3.12,16.0,2023,239
1.0,9:01,1.0,10.0,PHI 37,0.0,7.0,Tommy DeVito pass incomplete short right intended for Saquon Barkley,3.12,2.57,16.0,2023,239
1.0,8:53,2.0,10.0,PHI 37,0.0,7.0,"Penalty on NYG: Offensive Too Many Men on Field, 5 yards (accepted) (no play)",2.57,1.9,16.0,2023,239
1.0,8:53,2.0,15.0,PHI 42,0.0,7.0,Tommy DeVito pass complete short right to Wan'Dale Robinson for 8 yards (tackle by Kevin Byard),1.9,2.28,16.0,2023,239
1.0,8:13,3.0,7.0,PHI 34,0.0,7.0,Tommy DeVito pass incomplete short middle intended for Darren Waller (defended by James Bradberry),2.28,1.06,16.0,2023,239
1.0,8:08,4.0,7.0,PHI 34,3.0,7.0,Mason Crosby 52 yard field goal good,1.06,3.0,16.0,2023,239
1.0,8:04,,,NYG 35,3.0,7.0,"Mason Crosby kicks off 56 yards, returned by Kenneth Gainwell for 19 yards (tackle by Darnay Holmes). Penalty on Nolan Smith: Offensive Holding, 10 yards (accepted)",0.0,0.04,16.0,2023,239
1.0,7:55,1.0,10.0,PHI 18,3.0,7.0,"Penalty on Jordan Mailata: False Start, 5 yards (accepted) (no play)",0.04,-0.45,16.0,2023,239
