Quarter,Time,Down,ToGo,Location,JAX,TAM,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jaguars won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,,16.0,2023,234
1.0,15:00,,,JAX 35,0.0,0.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,234
1.0,15:00,1.0,10.0,TAM 25,0.0,0.0,Baker Mayfield pass complete short left to Trey Palmer for 8 yards (tackle by Foyesade Oluokun),0.61,1.14,16.0,2023,234
1.0,14:27,2.0,2.0,TAM 33,0.0,0.0,Baker Mayfield sacked by Roy Robertson-Harris for -5 yards,1.14,-0.23,16.0,2023,234
1.0,13:45,3.0,7.0,TAM 28,0.0,0.0,Baker Mayfield pass complete short middle to Trey Palmer for 18 yards (tackle by Andre Cisco),-0.23,1.99,16.0,2023,234
1.0,13:14,1.0,10.0,TAM 46,0.0,0.0,Rachaad White right guard for 4 yards (tackle by Jeremiah Ledbetter and Tyson Campbell),1.99,1.99,16.0,2023,234
1.0,12:37,2.0,6.0,JAX 50,0.0,0.0,Chris Godwin left end for 1 yard (tackle by Tyson Campbell),1.99,1.42,16.0,2023,234
1.0,11:54,3.0,5.0,JAX 49,0.0,0.0,Baker Mayfield pass complete short right to Rachaad White for 5 yards (tackle by Tre Herndon and Foyesade Oluokun),1.42,2.65,16.0,2023,234
1.0,11:25,1.0,10.0,JAX 44,0.0,0.0,Rachaad White up the middle for 1 yard (tackle by Foyesade Oluokun and K'Lavon Chaisson),2.65,2.25,16.0,2023,234
1.0,10:49,2.0,9.0,JAX 43,0.0,0.0,Rachaad White up the middle for 2 yards (tackle by Tyler Lacy),2.25,1.82,16.0,2023,234
1.0,10:13,3.0,7.0,JAX 41,0.0,0.0,Baker Mayfield pass complete deep right to Chris Godwin for 22 yards (tackle by Tre Herndon),1.82,4.31,16.0,2023,234
1.0,9:30,1.0,10.0,JAX 19,0.0,0.0,Rachaad White right tackle for 11 yards (tackle by Rayshawn Jenkins),4.31,5.37,16.0,2023,234
1.0,8:41,1.0,8.0,JAX 8,0.0,0.0,Rachaad White up the middle for -4 yards (tackle by DaVon Hamilton),5.37,3.86,16.0,2023,234
1.0,8:09,2.0,12.0,JAX 12,0.0,0.0,Baker Mayfield pass complete short right to Rachaad White for 6 yards (tackle by Foyesade Oluokun),3.86,4.04,16.0,2023,234
1.0,7:36,3.0,6.0,JAX 6,0.0,0.0,Baker Mayfield pass incomplete short middle intended for Chris Godwin (defended by Adam Gotsis),4.04,2.99,16.0,2023,234
1.0,7:25,4.0,6.0,JAX 6,0.0,3.0,Chase McLaughlin 24 yard field goal good,2.99,3.0,16.0,2023,234
1.0,7:22,,,TAM 35,0.0,3.0,"Jake Camarda kicks off 64 yards, returned by Jamal Agnew for 31 yards (tackle by Ko Kieft and Dee Delaney)",0.0,1.07,16.0,2023,234
1.0,7:17,1.0,10.0,JAX 32,0.0,3.0,Travis Etienne left end for no gain (tackle by Shaquil Barrett),1.07,0.53,16.0,2023,234
1.0,6:40,2.0,10.0,JAX 32,0.0,3.0,Travis Etienne left guard for 4 yards (tackle by Antoine Winfield),0.53,0.37,16.0,2023,234
1.0,6:01,3.0,6.0,JAX 36,0.0,3.0,Trevor Lawrence pass complete short left to Evan Engram for 11 yards (tackle by Jamel Dean),0.37,2.06,16.0,2023,234
1.0,5:25,1.0,10.0,JAX 47,0.0,3.0,Trevor Lawrence pass complete short middle to Travis Etienne for 11 yards (tackle by Christian Izien),2.06,2.79,16.0,2023,234
1.0,4:53,1.0,10.0,TAM 42,0.0,3.0,"Trevor Lawrence aborted snap, recovered by D'Ernest Johnson at TB-47 (tackle by Calijah Kancey)",2.79,1.57,16.0,2023,234
1.0,4:17,2.0,15.0,TAM 47,0.0,3.0,Trevor Lawrence pass incomplete deep left intended for Tim Jones,1.57,0.89,16.0,2023,234
1.0,4:09,3.0,15.0,TAM 47,0.0,3.0,Trevor Lawrence pass short right intended for Parker Washington is intercepted by Devin White at TB-34 and returned for 10 yards (tackle by Evan Engram),0.89,-1.86,16.0,2023,234
1.0,4:00,1.0,10.0,TAM 44,0.0,3.0,Chase Edmonds right end for 6 yards (tackle by Travon Walker and Foyesade Oluokun),1.86,2.13,16.0,2023,234
