Quarter,Time,Tm,Detail,NOR,LAR,week,year,game_id
1.0,2:28,Rams,Puka Nacua 2 yard pass from Matthew Stafford (Lucas Havrisik kick),0,7,16.0,2023,225
2.0,10:23,Rams,Lucas Havrisik 20 yard field goal,0,10,16.0,2023,225
,2:28,Saints,Rashid Shaheed 45 yard pass from Derek Carr (Blake Grupe kick),7,10,16.0,2023,225
,0:21,Rams,Demarcus Robinson 4 yard pass from Matthew Stafford (Lucas Havrisik kick),7,17,16.0,2023,225
3.0,11:10,Rams,Lucas Havrisik 22 yard field goal,7,20,16.0,2023,225
,5:42,Rams,Kyren Williams 10 yard rush (Lucas Havrisik kick),7,27,16.0,2023,225
4.0,12:44,Rams,Lucas Havrisik 32 yard field goal,7,30,16.0,2023,225
,6:33,Saints,Juwan Johnson 5 yard pass from Derek Carr (Blake Grupe kick),14,30,16.0,2023,225
,3:53,Saints,A.T. Perry 35 yard pass from Derek Carr (Chris Olave pass from Derek Carr),22,30,16.0,2023,225
