Quarter,Time,Tm,Detail,IND,ATL,week,year,game_id
1.0,9:24,Colts,Jonathan Taylor 1 yard rush (Matt Gay kick),7,0,16.0,2023,228
,7:42,Falcons,Kyle Pitts 24 yard pass from Taylor Heinicke (Younghoe Koo kick),7,7,16.0,2023,228
2.0,3:23,Falcons,Younghoe Koo 23 yard field goal,7,10,16.0,2023,228
,0:05,Falcons,Younghoe Koo 47 yard field goal,7,13,16.0,2023,228
3.0,11:13,Falcons,Tyler Allgeier 31 yard rush (Younghoe Koo kick),7,20,16.0,2023,228
,4:23,Colts,Matt Gay 33 yard field goal,10,20,16.0,2023,228
4.0,14:06,Falcons,Younghoe Koo 41 yard field goal,10,23,16.0,2023,228
,5:46,Falcons,Younghoe Koo 35 yard field goal,10,26,16.0,2023,228
,1:57,Falcons,Younghoe Koo 25 yard field goal,10,29,16.0,2023,228
