Quarter,Time,Down,ToGo,Location,CIN,PIT,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Steelers won the coin toss and deferred, Bengals to receive the opening kickoff.",,,16.0,2023,226
1.0,15:00,,,PIT 35,0.0,0.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,226
1.0,15:00,1.0,10.0,CIN 25,0.0,0.0,Joe Mixon left tackle for no gain (tackle by Larry Ogunjobi),0.61,0.06,16.0,2023,226
1.0,14:26,2.0,10.0,CIN 25,0.0,0.0,Jake Browning pass complete short right to Joe Mixon for 9 yards (tackle by Elandon Roberts),0.06,0.56,16.0,2023,226
1.0,13:41,3.0,1.0,CIN 34,0.0,0.0,Jake Browning pass complete short left to Andrei Iosivas for 7 yards (tackle by Levi Wallace),0.56,1.66,16.0,2023,226
1.0,13:02,1.0,10.0,CIN 41,0.0,0.0,Jake Browning pass complete short left to Joe Mixon for -2 yards (tackle by Mykal Walker),1.66,0.85,16.0,2023,226
1.0,12:25,2.0,12.0,CIN 39,0.0,0.0,Jake Browning pass incomplete short right intended for Tanner Hudson (defended by Levi Wallace),0.85,0.17,16.0,2023,226
1.0,12:21,3.0,12.0,CIN 39,0.0,0.0,Jake Browning pass complete short right to Drew Sample for 8 yards (tackle by Elandon Roberts),0.17,-0.26,16.0,2023,226
1.0,11:44,4.0,4.0,CIN 47,0.0,0.0,"Brad Robbins punts 45 yards, fair catch by Calvin Austin at PIT-8",-0.26,0.38,16.0,2023,226
1.0,11:37,1.0,10.0,PIT 8,0.0,0.0,Najee Harris right tackle for 6 yards (tackle by Trey Hendrickson),-0.38,-0.32,16.0,2023,226
1.0,10:57,2.0,4.0,PIT 14,0.0,6.0,"Mason Rudolph pass complete short left to George Pickens for 86 yards, touchdown",-0.32,7.0,16.0,2023,226
1.0,10:45,,,CIN 15,0.0,7.0,Chris Boswell kicks extra point good,0.0,0.0,16.0,2023,226
1.0,10:45,,,PIT 35,0.0,7.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,226
1.0,10:45,1.0,10.0,CIN 25,0.0,7.0,Joe Mixon up the middle for 1 yard (tackle by Elandon Roberts and T.J. Watt),0.61,0.2,16.0,2023,226
1.0,10:07,2.0,9.0,CIN 26,0.0,7.0,Jake Browning pass complete short middle to Trenton Irwin for 6 yards (tackle by Mark Robinson),0.2,0.3,16.0,2023,226
1.0,9:25,3.0,3.0,CIN 32,0.0,7.0,Jake Browning pass complete short middle to Tee Higgins for 23 yards (tackle by Levi Wallace),0.3,2.59,16.0,2023,226
1.0,8:40,1.0,10.0,PIT 45,0.0,7.0,Chase Brown right guard for 4 yards (tackle by Nick Herbig),2.59,2.58,16.0,2023,226
1.0,8:00,2.0,6.0,PIT 41,0.0,7.0,Jake Browning pass complete short left to Andrei Iosivas for 12 yards (tackle by Elandon Roberts),2.58,3.64,16.0,2023,226
1.0,7:18,1.0,10.0,PIT 29,0.0,7.0,Jake Browning pass complete short right to Mitchell Wilcox for 6 yards (tackle by Eric Rowe),3.64,3.91,16.0,2023,226
1.0,6:38,2.0,4.0,PIT 23,0.0,7.0,Jake Browning pass complete short left to Tyler Boyd for 6 yards (tackle by Patrick Peterson),3.91,4.44,16.0,2023,226
1.0,5:57,1.0,10.0,PIT 17,0.0,7.0,Joe Mixon left tackle for 1 yard (tackle by Mark Robinson),4.44,4.0,16.0,2023,226
1.0,5:17,2.0,9.0,PIT 16,0.0,7.0,Jake Browning pass incomplete short left intended for Andrei Iosivas,4.0,3.19,16.0,2023,226
1.0,5:12,3.0,9.0,PIT 16,0.0,7.0,"Jake Browning pass deep right is intercepted by Patrick Peterson in end zone and returned for no gain, touchback.",3.19,-0.28,16.0,2023,226
1.0,5:01,1.0,10.0,PIT 20,0.0,7.0,Najee Harris right guard for 8 yards (tackle by Chidobe Awuzie and B.J. Hill),0.28,0.81,16.0,2023,226
1.0,4:24,2.0,2.0,PIT 28,0.0,7.0,Mason Rudolph pass complete short left to Allen Robinson for 12 yards (tackle by Trey Hendrickson and Mike Hilton),0.81,1.6,16.0,2023,226
1.0,3:42,1.0,10.0,PIT 40,0.0,7.0,Jaylen Warren right guard for 3 yards (tackle by Daxton Hill and Sam Hubbard),1.6,1.46,16.0,2023,226
1.0,2:59,2.0,7.0,PIT 43,0.0,7.0,Najee Harris left end for 2 yards (tackle by B.J. Hill and Germaine Pratt),1.46,1.03,16.0,2023,226
1.0,2:22,3.0,5.0,PIT 45,0.0,7.0,Mason Rudolph pass complete short middle to Jaylen Warren for 18 yards (tackle by Mike Hilton and Logan Wilson),1.03,3.12,16.0,2023,226
1.0,1:39,1.0,10.0,CIN 37,0.0,7.0,Jaylen Warren right tackle for 4 yards (tackle by Jordan Battle and Logan Wilson),3.12,3.11,16.0,2023,226
1.0,0:58,2.0,6.0,CIN 33,0.0,7.0,Mason Rudolph pass complete short left to Allen Robinson for 14 yards (tackle by Chidobe Awuzie),3.11,4.31,16.0,2023,226
1.0,0:18,,,,,,Timeout #1 by Pittsburgh Steelers,,,16.0,2023,226
1.0,0:18,1.0,10.0,CIN 19,0.0,7.0,Najee Harris up the middle for 13 yards (tackle by Daxton Hill),4.31,5.83,16.0,2023,226
2.0,15:00,1.0,6.0,CIN 6,0.0,7.0,Mason Rudolph pass complete short right to Allen Robinson for -1 yards (tackle by Jordan Battle),5.83,4.76,16.0,2023,226
2.0,14:26,2.0,7.0,CIN 7,0.0,13.0,"Calvin Austin left end for 7 yards, touchdown",4.76,7.0,16.0,2023,226
2.0,14:21,,,CIN 15,0.0,14.0,Chris Boswell kicks extra point good,0.0,0.0,16.0,2023,226
2.0,14:21,,,PIT 35,0.0,14.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,226
2.0,14:21,1.0,10.0,CIN 25,0.0,14.0,Jake Browning pass incomplete short left,0.61,0.06,16.0,2023,226
2.0,14:17,2.0,10.0,CIN 25,0.0,14.0,Jake Browning pass complete short right to Charlie Jones for -1 yards (tackle by Chandon Sullivan),0.06,-0.76,16.0,2023,226
2.0,13:38,,,,,,Timeout #1 by Cincinnati Bengals,,,16.0,2023,226
2.0,13:38,3.0,11.0,CIN 24,0.0,14.0,"Jake Browning sacked by T.J. Watt for -8 yards. Jake Browning fumbles (forced by T.J. Watt), recovered by Ted Karras at CIN-16. Penalty on Jonah Williams: Offensive Holding, 10 yards (declined)",-0.76,-2.39,16.0,2023,226
2.0,13:19,4.0,19.0,CIN 16,0.0,14.0,Brad Robbins punts 36 yards downed by Nick Scott,-2.39,-2.13,16.0,2023,226
2.0,13:12,1.0,10.0,PIT 48,0.0,14.0,Najee Harris up the middle for 9 yards (tackle by Daxton Hill and Jordan Battle),2.13,2.8,16.0,2023,226
2.0,12:37,2.0,1.0,CIN 43,0.0,14.0,Najee Harris right guard for 2 yards (tackle by Germaine Pratt and Zachary Carter),2.8,2.85,16.0,2023,226
2.0,12:01,1.0,10.0,CIN 41,0.0,14.0,Mason Rudolph pass incomplete short right,2.85,2.31,16.0,2023,226
2.0,11:55,2.0,10.0,CIN 41,0.0,14.0,Mason Rudolph pass incomplete deep right intended for Calvin Austin (defended by Mike Hilton),2.31,1.62,16.0,2023,226
2.0,11:49,3.0,10.0,CIN 41,0.0,14.0,Mason Rudolph pass complete short left to Jaylen Warren for -8 yards (tackle by DJ Turner and Logan Wilson),1.62,0.0,16.0,2023,226
2.0,11:11,4.0,18.0,CIN 49,0.0,14.0,Pressley Harvin punts 42 yards downed by James Pierre,0.0,0.38,16.0,2023,226
2.0,11:00,1.0,10.0,CIN 7,0.0,14.0,Jake Browning pass complete short middle to Andrei Iosivas for 6 yards (tackle by Elandon Roberts),-0.38,-0.34,16.0,2023,226
2.0,10:21,2.0,4.0,CIN 13,0.0,14.0,Chase Brown left tackle for 3 yards (tackle by Eric Rowe),-0.34,-0.37,16.0,2023,226
2.0,9:35,3.0,1.0,CIN 16,0.0,14.0,Joe Mixon left guard for 2 yards (tackle by Levi Wallace),-0.37,0.04,16.0,2023,226
2.0,8:54,1.0,10.0,CIN 18,0.0,14.0,Jake Browning pass deep left intended for Tyler Boyd is intercepted by Eric Rowe at CIN-39 and returned for 25 yards (tackle by Orlando Brown),0.04,-4.65,16.0,2023,226
