Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Derek Carr,NOR,2,2,0,3,16.0,2023,225
Alvin Kamara,NOR,9,19,0,5,16.0,2023,225
Jamaal Williams,NOR,2,8,0,4,16.0,2023,225
Rashid Shaheed,NOR,1,4,0,4,16.0,2023,225
Taysom Hill,NOR,2,2,0,3,16.0,2023,225
Chris Olave,NOR,0,0,0,0,16.0,2023,225
Juwan Johnson,NOR,0,0,0,0,16.0,2023,225
A.T. Perry,NOR,0,0,0,0,16.0,2023,225
Foster Moreau,NOR,0,0,0,0,16.0,2023,225
Keith Kirkwood,NOR,0,0,0,0,16.0,2023,225
Matthew Stafford,LAR,1,-4,0,-4,16.0,2023,225
Kyren Williams,LAR,22,104,1,10,16.0,2023,225
Ronnie Rivers,LAR,6,20,0,10,16.0,2023,225
Puka Nacua,LAR,2,16,0,9,16.0,2023,225
Demarcus Robinson,LAR,0,0,0,0,16.0,2023,225
Tyler Higbee,LAR,0,0,0,0,16.0,2023,225
Cooper Kupp,LAR,1,-3,0,-3,16.0,2023,225
