Quarter,Time,Down,ToGo,Location,WAS,NYJ,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jets won the coin toss and deferred, Commanders to receive the opening kickoff.",,,16.0,2023,232
1.0,15:00,,,NYJ 35,0.0,0.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,232
1.0,15:00,1.0,10.0,WAS 25,0.0,0.0,Sam Howell pass incomplete short left intended for Curtis Samuel,0.61,0.06,16.0,2023,232
1.0,14:57,2.0,10.0,WAS 25,0.0,0.0,Sam Howell pass short left intended for Logan Thomas is intercepted by Tony Adams at WAS-29 and returned for 5 yards (tackle by Dyami Brown),0.06,-3.97,16.0,2023,232
1.0,14:50,1.0,10.0,WAS 24,0.0,0.0,Trevor Siemian pass complete short right to Breece Hall for 15 yards (tackle by Daron Payne),3.97,5.14,16.0,2023,232
1.0,14:11,1.0,9.0,WAS 9,0.0,0.0,Trevor Siemian pass complete short middle to Garrett Wilson for 1 yard (tackle by Percy Butler),5.14,4.57,16.0,2023,232
1.0,13:41,2.0,8.0,WAS 8,0.0,0.0,Trevor Siemian pass complete short left to Xavier Gipson for 1 yard (tackle by Benjamin St-Juste),4.57,3.81,16.0,2023,232
1.0,13:08,3.0,7.0,WAS 7,0.0,0.0,Trevor Siemian pass incomplete short right intended for Garrett Wilson (defended by Kendall Fuller),3.81,2.97,16.0,2023,232
1.0,13:03,4.0,7.0,WAS 7,0.0,3.0,Greg Zuerlein 25 yard field goal good,2.97,3.0,16.0,2023,232
1.0,13:00,,,NYJ 35,0.0,3.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,232
1.0,13:00,1.0,10.0,WAS 25,0.0,3.0,Sam Howell pass incomplete deep middle intended for Jahan Dotson,0.61,0.06,16.0,2023,232
1.0,12:55,2.0,10.0,WAS 25,0.0,3.0,Antonio Gibson left tackle for 3 yards (tackle by Jermaine Johnson and Solomon Thomas),0.06,-0.23,16.0,2023,232
1.0,12:14,3.0,7.0,WAS 28,0.0,3.0,"Sam Howell sacked by and Jordan Whitehead for -13 yards and John Franklin-Myers for -13 yards Penalty on WAS: Illegal Formation, 5 yards (declined)",-0.23,-2.44,16.0,2023,232
1.0,12:08,4.0,20.0,WAS 15,0.0,3.0,"Penalty on Christian Holmes: False Start, 5 yards (accepted) (no play)",-2.44,-2.49,16.0,2023,232
1.0,12:01,4.0,25.0,WAS 10,0.0,3.0,blocked by Jermaine Johnson,-2.49,-5.14,16.0,2023,232
1.0,11:55,1.0,9.0,WAS 9,0.0,3.0,Breece Hall up the middle for 1 yard (tackle by Daron Payne and Jonathan Allen),5.14,4.57,16.0,2023,232
1.0,11:34,2.0,8.0,WAS 8,0.0,3.0,Trevor Siemian pass incomplete short right,4.57,3.58,16.0,2023,232
1.0,11:29,3.0,8.0,WAS 8,0.0,9.0,"Trevor Siemian pass complete short left to Jason Brownlee for 8 yards, touchdown",3.58,7.0,16.0,2023,232
1.0,11:26,,,WAS 15,0.0,10.0,Greg Zuerlein kicks extra point good,0.0,0.0,16.0,2023,232
1.0,11:26,,,NYJ 35,0.0,10.0,"Greg Zuerlein kicks off 65 yards, recovered by Byron Pringle at WAS-3 (tackle by Irvin Charles and Justin Hardee)",0.0,-0.38,16.0,2023,232
1.0,11:20,1.0,10.0,WAS 9,0.0,10.0,Antonio Gibson right tackle for 2 yards (tackle by Bryce Huff and Quincy Williams),-0.38,-0.63,16.0,2023,232
1.0,10:45,2.0,8.0,WAS 11,0.0,10.0,Sam Howell pass incomplete deep right,-0.63,-1.19,16.0,2023,232
1.0,10:37,3.0,8.0,WAS 11,0.0,10.0,Sam Howell pass incomplete short left intended for Byron Pringle (defended by Jermaine Johnson),-1.19,-2.49,16.0,2023,232
1.0,10:28,4.0,8.0,WAS 11,0.0,10.0,"Tress Way punts 36 yards downed by Christian Holmes. Penalty on Christian Holmes: Illegal Touch Kick, 5 yards (accepted)",-2.49,-2.79,16.0,2023,232
1.0,10:18,1.0,10.0,WAS 42,0.0,10.0,Trevor Siemian pass complete short left to Garrett Wilson for 6 yards (tackle by Phidarian Mathis),2.79,3.05,16.0,2023,232
1.0,9:44,2.0,4.0,WAS 36,0.0,16.0,"Breece Hall left tackle for 36 yards, touchdown",3.05,7.0,16.0,2023,232
1.0,9:37,,,WAS 15,0.0,17.0,Greg Zuerlein kicks extra point good,0.0,0.0,16.0,2023,232
1.0,9:37,,,NYJ 35,0.0,17.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,232
1.0,9:37,1.0,10.0,WAS 25,0.0,17.0,Sam Howell pass complete short right to Curtis Samuel for 16 yards (tackle by Sauce Gardner),0.61,1.66,16.0,2023,232
1.0,8:59,1.0,10.0,WAS 41,0.0,17.0,Chris Rodriguez right tackle for 3 yards (tackle by Quinnen Williams),1.66,1.53,16.0,2023,232
1.0,8:26,2.0,7.0,WAS 44,0.0,17.0,Chris Rodriguez right end for 11 yards (tackle by Will McDonald and Tony Adams),1.53,2.59,16.0,2023,232
1.0,7:51,1.0,10.0,NYJ 45,0.0,17.0,Sam Howell pass incomplete short left intended for John Bates,2.59,2.04,16.0,2023,232
1.0,7:46,2.0,10.0,NYJ 45,0.0,17.0,Sam Howell pass incomplete deep right intended for Byron Pringle,2.04,1.36,16.0,2023,232
1.0,7:40,3.0,10.0,NYJ 45,0.0,17.0,Sam Howell pass incomplete short right intended for Curtis Samuel (defended by Bryce Huff),1.36,0.27,16.0,2023,232
1.0,7:36,4.0,10.0,NYJ 45,0.0,17.0,"Tress Way punts 34 yards, fair catch by Xavier Gipson at NYJ-11",0.27,0.37,16.0,2023,232
1.0,7:31,1.0,10.0,NYJ 11,0.0,17.0,Breece Hall right tackle for 8 yards (tackle by John Ridgeway and Percy Butler),-0.37,0.17,16.0,2023,232
1.0,6:46,2.0,2.0,NYJ 19,0.0,17.0,Breece Hall up the middle for 3 yards (tackle by Cody Barton and Daron Payne),0.17,0.41,16.0,2023,232
1.0,6:10,1.0,10.0,NYJ 22,0.0,17.0,Trevor Siemian pass complete short left to Tyler Conklin for 10 yards (tackle by David Mayo),0.41,1.07,16.0,2023,232
1.0,5:30,1.0,10.0,NYJ 32,0.0,17.0,Trevor Siemian pass incomplete short left intended for Garrett Wilson (defended by Benjamin St-Juste),1.07,0.53,16.0,2023,232
1.0,5:26,2.0,10.0,NYJ 32,0.0,17.0,Israel Abanikanda right end for 12 yards (tackle by Percy Butler and David Mayo),0.53,1.86,16.0,2023,232
1.0,4:50,1.0,10.0,NYJ 44,0.0,17.0,Trevor Siemian scrambles left tackle for 13 yards (tackle by Cody Barton),1.86,2.72,16.0,2023,232
1.0,4:12,1.0,10.0,WAS 43,0.0,17.0,Israel Abanikanda right end for 3 yards (tackle by Kendall Fuller and K.J. Henry),2.72,2.58,16.0,2023,232
1.0,3:32,2.0,7.0,WAS 40,0.0,17.0,Trevor Siemian pass complete short left to Tyler Conklin for 5 yards (tackle by K.J. Henry and Khaleke Hudson),2.58,2.54,16.0,2023,232
1.0,2:48,3.0,2.0,WAS 35,0.0,17.0,Breece Hall left tackle for 1 yard (tackle by Jonathan Allen and Daron Payne),2.54,1.1,16.0,2023,232
1.0,2:10,4.0,1.0,WAS 34,0.0,17.0,Tyler Conklin up the middle for no gain (tackle by Quan Martin),1.1,-1.2,16.0,2023,232
1.0,2:02,1.0,10.0,WAS 34,0.0,17.0,Sam Howell pass complete short left to Terry McLaurin for 13 yards (tackle by Tony Adams),1.2,2.06,16.0,2023,232
1.0,1:27,1.0,10.0,WAS 47,0.0,17.0,Chris Rodriguez up the middle for no gain (tackle by Carl Lawson and Micheal Clemons),2.06,1.52,16.0,2023,232
1.0,0:50,2.0,10.0,WAS 47,0.0,17.0,Sam Howell pass complete short left to Chris Rodriguez for 7 yards (tackle by D.J. Reed),1.52,1.75,16.0,2023,232
1.0,0:10,3.0,3.0,NYJ 46,0.0,17.0,Sam Howell pass incomplete short left intended for Terry McLaurin (defended by Quincy Williams),1.75,0.2,16.0,2023,232
