Unnamed: 0,NYG,PHI,week,year,game_id
First Downs,14,28,16.0,2023,239
Rush-Yds-TDs,26-106-1,35-170-2,16.0,2023,239
Cmp-Att-Yd-TD-INT,16-32-188-1-1,24-38-301-1-1,16.0,2023,239
Sacked-Yards,1-2,1-6,16.0,2023,239
Net Pass Yards,186,295,16.0,2023,239
Total Yards,292,465,16.0,2023,239
Fumbles-Lost,1-0,4-1,16.0,2023,239
Turnovers,1,2,16.0,2023,239
Penalties-Yards,3-13,9-65,16.0,2023,239
Third Down Conv.,4-14,8-15,16.0,2023,239
Fourth Down Conv.,3-5,2-2,16.0,2023,239
Time of Possession,25:22,34:38,16.0,2023,239
