Unnamed: 0,BAL,SFO,week,year,game_id
First Downs,23,21,16.0,2023,240
Rush-Yds-TDs,26-102-1,18-121-1,16.0,2023,240
Cmp-Att-Yd-TD-INT,23-35-252-2-0,26-46-336-1-5,16.0,2023,240
Sacked-Yards,2-11,4-28,16.0,2023,240
Net Pass Yards,241,308,16.0,2023,240
Total Yards,343,429,16.0,2023,240
Fumbles-Lost,0-0,0-0,16.0,2023,240
Turnovers,0,5,16.0,2023,240
Penalties-Yards,6-67,10-102,16.0,2023,240
Third Down Conv.,4-11,6-14,16.0,2023,240
Fourth Down Conv.,1-1,1-3,16.0,2023,240
Time of Possession,31:14,28:46,16.0,2023,240
