Quarter,Time,Down,ToGo,Location,LVR,KAN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Raiders won the coin toss and deferred, Chiefs to receive the opening kickoff.",,,16.0,2023,238
1.0,15:00,,,LVR 35,0.0,0.0,"Daniel Carlson kicks off 63 yards, returned by Richie James for 30 yards (tackle by Luke Masterson)",0.0,1.07,16.0,2023,238
1.0,14:54,1.0,10.0,KAN 32,0.0,0.0,Isiah Pacheco right end for no gain (tackle by Malcolm Koonce),1.07,0.53,16.0,2023,238
1.0,14:24,2.0,10.0,KAN 32,0.0,0.0,Patrick Mahomes up the middle for -2 yards (tackle by Maxx Crosby),0.53,-0.43,16.0,2023,238
1.0,13:42,3.0,12.0,KAN 30,0.0,0.0,"Patrick Mahomes sacked by Adam Butler for -9 yards. Patrick Mahomes fumbles (forced by Adam Butler), recovered by Patrick Mahomes at KC-21 (tackle by Adam Butler)",-0.43,-1.96,16.0,2023,238
1.0,12:56,4.0,21.0,KAN 21,0.0,0.0,"Tommy Townsend punts 61 yards, recovered by DeAndre Carter at LV-18",-1.96,-0.04,16.0,2023,238
1.0,12:40,1.0,10.0,LVR 18,0.0,0.0,Zamir White up the middle for 4 yards (tackle by Leo Chenal and Michael Danna),0.04,0.14,16.0,2023,238
1.0,12:24,2.0,6.0,LVR 22,0.0,0.0,Aidan O'Connell sacked by Chris Jones for -8 yards,0.14,-1.82,16.0,2023,238
1.0,11:37,3.0,14.0,LVR 14,0.0,0.0,Aidan O'Connell pass incomplete short middle,-1.82,-2.47,16.0,2023,238
1.0,11:31,4.0,14.0,LVR 14,0.0,0.0,"AJ Cole punts 50 yards, returned by Richie James for 13 yards (tackle by Jacob Bobenmoyer). Penalty on Curtis Bolton: Illegal Shift, 5 yards (accepted)",-2.47,-2.52,16.0,2023,238
1.0,11:21,1.0,10.0,LVR 46,0.0,0.0,Patrick Mahomes pass incomplete short left intended for Travis Kelce,2.52,1.98,16.0,2023,238
1.0,11:17,2.0,10.0,LVR 46,0.0,0.0,"Penalty on Rashee Rice: False Start, 5 yards (accepted) (no play)",1.98,1.3,16.0,2023,238
1.0,11:17,2.0,15.0,KAN 49,0.0,0.0,Patrick Mahomes scrambles left end for 7 yards (tackle by Nate Hobbs),1.3,1.55,16.0,2023,238
1.0,10:45,3.0,8.0,LVR 44,0.0,0.0,"Patrick Mahomes sacked by Malcolm Koonce for -9 yards. Penalty on Marquez Valdes-Scantling: Offensive Offside, 5 yards (declined)",1.55,-0.26,16.0,2023,238
